GDT_TS,1-2,1-3,2-3
45.20,6.046553387116745,6.03686255211426,6.002914450664722
61.11,5.778597517137716,5.6093974621664895,5.455338626804714
63.55,5.501277352136721,5.524017103716648,5.548178344994373
69.12,5.470477178794464,5.4079262751181405,5.287433441913555
72.11,5.177570454316403,5.068043686705968,4.981326230252931
80.34,4.960651924958999,4.964444083270545,4.938668069970872
82.30,4.964444083270545,4.993449859737972,4.994762610078958
83.90,4.882237831572718,4.719237152369028,4.617209883517395
84.12,4.522817805966952,4.450686181195884,4.34751926409919
85.90,4.281089952837199,4.197567493562138,4.16119411550218
86.28,4.135741109112592,4.073120732265627,4.046116549753721
87.37,4.0671409106158105,4.076929922495031,4.076929922495031
87.50,4.049426928042957,4.005608203572608,3.9463417206981592
87.63,3.928796302500817,3.9169188763745124,3.9020614977766837
89.49,3.9004277875305613,3.894431730415966,3.888743154877837
90.39,3.835919850544736,3.7985898459841647,3.777985214958864
90.48,3.7218684502842327,3.662627153447551,3.6271186163169586
90.70,3.540551187369843,3.4895568522605456,3.408886229259575
90.72,3.4245320293892947,3.462512054628963,3.462512054628963
91.10,3.4010718115116494,3.374366021306276,3.3282184835171456
92.18,3.31473346026143,3.2981962015486626,3.2773700977544933
92.66,3.2217858736677623,3.164101940891287,3.1203634324212675
93.28,3.1148900843257734,3.10939942693321,3.106739300743943
93.84,3.073569043132519,3.04860065336112,3.0034224152940854
96.00,2.9756953813713385,2.9501942928359393,2.923206343335952
96.45,2.8768236201531363,2.85120927783707,2.8090148595005977
96.81,2.7886497426696835,2.777525023421022,2.7464157286607653
97.57,2.7110952821554073,2.7072045001059215,2.6968702950203505
98.08,2.6491395755352523,2.600709882768766,2.579446710719845
