GDT_TS,1-2,1-3,2-3
45.20,2.561280750355393,2.5167932081428517,2.491100690000121
61.11,2.465013085941059,2.454452573356387,2.436797152719692
63.55,2.4471745475999525,2.457053183827936,2.472618704480512
69.12,2.454452573356387,2.4380102066488525,2.408765833634072
72.11,2.3941000003759436,2.374172070433518,2.3467766466177147
80.34,2.348983912499871,2.388198380339218,2.3941000003759436
82.30,2.400339223602668,2.3958576809136147,2.388198380339218
83.90,2.3901086147624135,2.3958576809136147,2.404149836611763
84.12,2.4054453846890045,2.408765833634072,2.4376415751085156
85.90,2.3941000003759436,2.348983912499871,2.316210545262848
86.28,2.309525124812853,2.302622454944389,2.30199570184957
87.37,2.3000898390849898,2.296823294232871,2.2912872866133895
87.50,2.2767076733014124,2.259800092755486,2.2454755781395224
87.63,2.233535780045045,2.2142089089901296,2.18805756327277
89.49,2.2210598770702314,2.2407196456826552,2.2505149124826276
90.39,2.236865263296646,2.20226505034786,2.1864330216178534
90.48,2.173788316529702,2.1618470562505294,2.1497555323887356
90.70,2.124054524412715,2.095086147736927,2.0682779465283274
90.72,2.079423998496932,2.087594083482835,2.0918909333342848
91.10,2.0773835477908675,2.054739584879693,2.034909285368917
92.18,2.0352960713929815,2.039796555999897,2.0347713196925934
92.66,2.034909285368917,2.0373267662387295,2.0403781591776102
93.28,2.0249037992553123,2.003346292755873,1.9874814872189548
93.84,1.9782854574846094,1.9777644138641963,1.9764876789827648
96.00,1.974017390078243,1.9782065693954296,1.9858879324702892
96.45,1.9553802423959277,1.9327462180413644,1.9171871018890174
96.81,1.9171871018890174,1.9056444637662366,1.8976493747148304
97.57,1.8951012012094983,1.8866141731954644,1.8699500954934767
98.08,1.8623855225155292,1.861441786523423,1.8602712959235028
