GDT_TS,1,2,3
45.20,18.875626939581274,19.094966541198566,18.99620917115412
61.11,17.379952399774492,13.649196957543005,14.689953727344363
63.55,14.427196009835178,16.317331967813338,15.073349397926549
69.12,14.753215757042279,12.491641787051183,13.172333816973696
72.11,12.032405056275806,10.411424565024072,11.020362770834618
80.34,10.353287854453097,10.291807739022865,10.353287854453097
82.30,10.554000216957391,11.38977806894797,10.914428405054476
83.90,11.06193297750886,10.67105795349352,10.851352256695886
84.12,10.585596259729215,10.554966710510005,10.6096389299061
85.90,10.268321166328473,9.403819201840452,9.874169875163876
86.28,9.029403462392578,8.741200079652149,8.886578952893208
87.37,8.92754907887458,8.741200079652149,8.886578952893208
87.50,8.583715358229743,8.347348341351804,8.421780870322161
87.63,8.404929386905472,8.501905047195535,8.404929386905472
89.49,8.786628510140536,9.200471247779337,9.049436798867546
90.39,9.020373259827965,8.695137748546507,8.92754907887458
90.48,8.476968074480922,7.965967338613629,8.270367154342193
90.70,7.491771896075508,6.883308408906067,7.255520064334461
90.72,7.15705498106888,7.663119936185176,7.356593733566566
91.10,7.356593733566566,6.883308408906067,7.127320379644599
92.18,7.09367261773845,7.252048363896527,7.169523635007799
92.66,7.201016586607961,7.15705498106888,7.169017149838229
93.28,7.252048363896527,7.459332969104246,7.341011120355233
93.84,7.323243738260862,7.194372126306044,7.230059548546755
96.00,7.194372126306044,7.356593733566566,7.252048363896527
96.45,7.15705498106888,6.6944727415147876,7.0108245818004225
96.81,6.626563567109632,6.532197766264963,6.560923751696672
97.57,6.546558804127111,6.500443235400699,6.536877187218978
98.08,6.39957033227413,6.049034837880747,6.188843292619918
