GDT_TS,Mean,StDev
45.20,0.4815092453773113,0.012370708440266434
61.11,0.39680159920039987,0.017360473455953783
63.55,0.2298850574712644,0.017263093902464655
69.12,0.4290354822588706,0.006105343189840385
72.11,0.40379810094952523,0.003773030702284247
80.34,0.31659170414792603,0.013248092095763683
82.30,0.32383808095952027,0.006535080874873566
83.90,0.4140429785107446,0.014190175776612371
84.12,0.3143428285857071,0.015017470466083682
85.90,0.4517741129435282,0.0047607593411438534
86.28,0.30059970014992504,0.0115403330722194
87.37,0.4377811094452773,0.022123470110005556
87.50,0.5027486256871564,0.012483754119736916
87.63,0.36356821589205396,0.009916609111936254
89.49,0.31134432783608196,0.003120938529934229
90.39,0.3790604697651174,0.007508735233041841
90.48,0.4015492253873063,0.0057253569402246855
90.70,0.4307846076961519,0.009372813260125444
90.72,0.29760119940029983,0.008837950616605384
91.10,0.46751624187906043,0.004128613603662729
92.18,0.36731634182908546,0.007150968526363929
92.66,0.351824087956022,0.00801549971631456
93.28,0.5397301349325337,0.014360752669166464
93.84,0.4372813593203399,0.012187654570971696
96.00,0.3748125937031484,0.017912748343850857
96.45,0.5559720139930034,0.00875276356228732
96.81,0.41329335332333833,0.011352140621289926
97.57,0.510744627686157,0.013930394667432644
98.08,0.43278360819590206,0.01290429918408332
