GDT_TS,Mean,StDev
45.20,0.05147426286856572,0.0018865153511421133
61.11,0.015742128935532233,0.0014992503748125939
63.55,0.03223388305847077,0.0037481259370314834
69.12,0.1046976511744128,0.009783494228111889
72.11,0.10919540229885057,0.002163981518701746
80.34,0.12768615692153926,0.005725356940224691
82.30,0.050974512743628186,0.0045597920017228025
83.90,0.1656671664167916,0.01430193705272782
84.12,0.0909545227386307,0.00426254925268165
85.90,0.2596201899050475,0.00943257675571059
86.28,0.24612693653173415,0.008257227207325489
87.37,0.24412793603198402,0.01221068637968079
87.50,0.35332333833083457,0.009372813260125476
87.63,0.08845577211394302,0.01261064755716696
89.49,0.11894052973513243,0.007656948248897838
90.39,0.21039480259870066,0.00712472635151586
90.48,0.18215892053973012,0.0046814077949013395
90.70,0.3230884557721139,0.019960310278402296
90.72,0.08745627186406797,0.009068089611006521
91.10,0.18065967016491755,0.004173736403920565
92.18,0.07296351824087956,0.004518526066972802
92.66,0.15417291354322837,0.006059148252364892
93.28,0.12143928035982009,0.008514105465967418
93.84,0.16516741629185408,0.005822678759485773
96.00,0.1816591704147926,0.02510218561694025
96.45,0.5099950024987506,0.011954896265772778
96.81,0.23663168415792102,0.0031209385299342403
97.57,0.2638680659670165,0.014593644927984834
98.08,0.40629685157421286,0.019126463001758718
