GDT_TS,Mean,StDev
45.20,0.3835582208895552,0.0015604692649671301
61.11,0.46326836581709147,0.015381022885069857
63.55,0.22263868065967019,0.008645099396304947
69.12,0.3808095952023988,0.023478950169963757
72.11,0.4672663668165917,0.003120938529934229
80.34,0.3090954522738631,0.01415051987483037
82.30,0.3190904547726137,0.004580285552179731
83.90,0.5364817591204397,0.026717942904812417
84.12,0.43928035982009,0.014765903750818734
85.90,0.3908045977011494,0.006718805427160787
86.28,0.3275862068965517,0.008245877061469259
87.37,0.4020489755122439,0.0028380351553224767
87.50,0.5072463768115942,0.01813617922201306
87.63,0.3905547226386807,0.021583478334164845
89.49,0.35632183908045983,0.003846777690739805
90.39,0.35357321339330333,0.014170361697908864
90.48,0.44377811094452774,0.033364637307747955
90.70,0.5004997501249375,0.012904299184083291
90.72,0.2593703148425787,0.005405624101145406
91.10,0.4737631184407796,0.012809600817567515
92.18,0.3470764617691155,0.009745127436281864
92.66,0.4497751124437781,0.004559792001722785
93.28,0.36231884057971014,0.011475224890759675
93.84,0.4640179910044977,0.007382951875409378
96.00,0.46726636681659167,0.013520988764086632
96.45,0.5392303848075962,0.0095509819358403
96.81,0.40929535232383807,0.01104266856271083
97.57,0.48825587206396803,0.016514454414650995
98.08,0.4745127436281859,0.032442406309418886
