Ligand,RMSD
ECMDB00045,0.1195
ECMDB00048,1.6830
ECMDB00055,0.0338
ECMDB00058,0.0115
ECMDB00061,0.0933
ECMDB00082,1.3335
ECMDB00095,1.1434
ECMDB00121,2.9163
ECMDB00125,0.8971
ECMDB00163,0.0575
ECMDB00186,0.5623
ECMDB00189,1.0072
ECMDB00217,5.0131
ECMDB00218,0.6116
ECMDB00229,0.1822
ECMDB00241,1.0506
ECMDB00244,0.3779
ECMDB00258,0.4974
ECMDB00280,1.6977
ECMDB00285,1.1157
ECMDB00288,0.0784
ECMDB00290,4.9314
ECMDB00293,0.6795
ECMDB00295,1.3970
ECMDB00302,1.3966
ECMDB00538,0.9415
ECMDB00570,0.8917
ECMDB00674,2.4479
ECMDB00797,1.8531
ECMDB00830,1.0462
ECMDB00902,2.9946
ECMDB00905,0.0357
ECMDB00939,0.2696
ECMDB00960,0.1968
ECMDB00961,3.5486
ECMDB00972,4.8586
ECMDB00975,1.0671
ECMDB00988,2.0813
ECMDB00998,0.7636
ECMDB00999,0.2686
ECMDB01000,2.5056
ECMDB01003,0.2099
ECMDB01044,2.2207
ECMDB01056,1.5694
ECMDB01058,1.4131
ECMDB01060,6.0543
ECMDB01062,0.0320
ECMDB01066,1.5303
ECMDB01079,1.5150
ECMDB01094,2.4169
ECMDB01095,5.0009
ECMDB01097,0.8971
ECMDB01117,2.0213
ECMDB01121,1.4674
ECMDB01124,0.5011
ECMDB01134,1.9791
ECMDB01142,1.7743
ECMDB01144,2.6642
ECMDB01163,1.1317
ECMDB01174,1.7614
ECMDB01178,2.4360
ECMDB01179,2.5321
ECMDB01185,2.9661
ECMDB01191,1.2410
ECMDB01193,1.1578
ECMDB01197,2.0046
ECMDB01201,0.0187
ECMDB01202,0.8769
ECMDB01227,0.0174
ECMDB01245,0.8501
ECMDB01248,6.2532
ECMDB01261,1.1633
ECMDB01262,1.1959
ECMDB01271,0.1261
ECMDB01273,1.4478
ECMDB01274,2.4074
ECMDB01285,2.8470
ECMDB01296,1.9867
ECMDB01308,0.2163
ECMDB01317,1.1080
ECMDB01328,2.9924
ECMDB01332,1.0650
ECMDB01341,1.9575
ECMDB01342,1.1566
ECMDB01346,3.2640
ECMDB01354,1.3483
ECMDB01367,0.7954
ECMDB01372,2.2467
ECMDB01373,4.5337
ECMDB01384,2.5220
ECMDB01391,1.1151
ECMDB01396,1.3207
ECMDB01397,0.3239
ECMDB01399,3.3724
ECMDB01409,0.2708
ECMDB01412,0.4299
ECMDB01416,2.9177
ECMDB01423,3.9044
ECMDB01439,1.1868
ECMDB01440,1.2563
ECMDB01487,5.8278
ECMDB01517,0.6647
ECMDB01520,2.0199
ECMDB01532,1.0316
ECMDB01546,0.1003
ECMDB01550,1.3783
ECMDB01554,1.6349
ECMDB01562,2.0811
ECMDB01846,1.7663
ECMDB02158,0.9663
ECMDB02666,1.8465
ECMDB03266,4.0914
ECMDB03335,1.3623
ECMDB03419,5.3694
ECMDB03502,0.1661
ECMDB03514,0.5516
ECMDB03536,1.0058
ECMDB03540,0.0209
ECMDB03556,1.7605
ECMDB03826,2.0214
ECMDB03882,0.8154
ECMDB04007,1.1472
ECMDB04010,1.7275
ECMDB04033,2.5905
ECMDB04034,1.5582
ECMDB04052,0.0611
ECMDB04053,3.3174
ECMDB04063,0.6762
ECMDB04085,0.6336
ECMDB04108,0.7899
ECMDB04111,4.2533
ECMDB04117,2.3919
ECMDB04119,3.7468
ECMDB04120,2.1249
ECMDB04137,0.6877
ECMDB04138,2.5317
ECMDB04165,3.9735
ECMDB04166,4.2817
ECMDB04167,1.2481
ECMDB04168,2.0608
ECMDB04169,0.6691
ECMDB04171,4.2138
ECMDB04220,2.8472
ECMDB04662,1.3709
ECMDB06273,0.5454
ECMDB06354,3.0440
ECMDB06555,0.1743
ECMDB06557,3.5783
ECMDB06823,1.3576
ECMDB06834,1.4357
ECMDB06872,0.2281
ECMDB06876,1.9744
ECMDB07858,4.2294
ECMDB07859,2.2328
ECMDB07860,3.5942
ECMDB07861,2.4549
ECMDB07862,3.9583
ECMDB07863,3.6931
ECMDB07864,2.1790
ECMDB07865,3.7708
ECMDB08821,3.1090
ECMDB08824,2.6320
ECMDB08827,2.6496
ECMDB08920,4.3408
ECMDB08923,2.4675
ECMDB08924,3.3356
ECMDB08953,3.2350
ECMDB08956,5.8167
ECMDB08957,2.6877
ECMDB08959,3.3418
ECMDB09019,7.1336
ECMDB09022,5.9914
ECMDB09023,3.1405
ECMDB10573,3.0591
ECMDB10615,2.4600
ECMDB10616,4.2280
ECMDB10618,2.9477
ECMDB11145,2.7666
ECMDB11155,2.8934
ECMDB11156,2.6115
ECMDB11616,1.3850
ECMDB11629,0.0434
ECMDB11688,0.1774
ECMDB12277,3.1535
ECMDB12278,1.6239
ECMDB12330,3.5483
ECMDB12332,3.3360
ECMDB12333,3.0027
ECMDB12352,3.0495
ECMDB12363,3.4606
ECMDB12366,3.0679
ECMDB20003,2.7241
ECMDB20004,2.5869
ECMDB20006,2.0569
ECMDB20019,1.0954
ECMDB20024,0.9512
ECMDB20025,3.2772
ECMDB20026,1.8636
ECMDB20027,3.4106
ECMDB20033,1.5615
ECMDB20034,2.3427
ECMDB20035,3.3037
ECMDB20049,1.5955
ECMDB20050,0.2294
ECMDB20054,2.6131
ECMDB20055,2.2720
ECMDB20058,0.0464
ECMDB20059,1.1724
ECMDB20062,0.0201
ECMDB20068,0.6559
ECMDB20078,2.1967
ECMDB20079,1.2323
ECMDB20081,0.1049
ECMDB20083,2.7731
ECMDB20088,2.4017
ECMDB20096,1.5690
ECMDB20099,0.0145
ECMDB20106,0.6539
ECMDB20110,3.5747
ECMDB20112,3.6505
ECMDB20113,2.1790
ECMDB20117,0.9331
ECMDB20123,0.4709
ECMDB20133,1.5025
ECMDB20139,1.5503
ECMDB20145,1.6934
ECMDB20148,2.7296
ECMDB20154,0.8545
ECMDB20155,2.9767
ECMDB20156,2.6021
ECMDB20157,1.4867
ECMDB20158,1.8343
ECMDB20161,0.0749
ECMDB20170,2.9378
ECMDB20171,1.5377
ECMDB20174,0.0628
ECMDB20175,0.6329
ECMDB20177,0.2042
ECMDB20178,2.5280
ECMDB20186,2.2366
ECMDB20187,1.9314
ECMDB20188,2.2135
ECMDB20189,1.6533
ECMDB20191,0.5288
ECMDB20192,2.0979
ECMDB20196,1.0724
ECMDB20202,4.4477
ECMDB20226,2.6923
ECMDB20238,0.0199
ECMDB20246,3.0021
ECMDB20267,1.1727
ECMDB20281,2.2502
ECMDB20298,3.5450
ECMDB20324,0.0768
ECMDB20325,1.4960
ECMDB20347,0.9492
ECMDB20428,1.3207
ECMDB20429,1.7882
ECMDB20469,3.5197
ECMDB20470,2.2169
ECMDB20485,2.6262
ECMDB20518,0.1787
ECMDB20537,1.2455
ECMDB20547,1.2803
ECMDB20549,1.2363
ECMDB20557,0.8345
ECMDB20558,1.4015
ECMDB20562,4.0556
ECMDB20564,0.9843
ECMDB20573,1.1289
ECMDB20575,1.0232
ECMDB20579,2.1486
ECMDB20594,1.7575
ECMDB20601,0.0009
ECMDB20608,2.9978
ECMDB20612,2.0079
ECMDB20613,1.0252
ECMDB20620,8.0103
ECMDB20622,1.4282
ECMDB21000,3.3855
ECMDB21005,0.3294
ECMDB21014,1.9929
ECMDB21015,1.7615
ECMDB21016,2.7050
ECMDB21017,4.9894
ECMDB21018,5.5543
ECMDB21019,2.1015
ECMDB21020,3.1100
ECMDB21021,2.8966
ECMDB21024,3.3044
ECMDB21025,3.3023
ECMDB21026,3.1432
ECMDB21027,3.4157
ECMDB21028,2.2593
ECMDB21030,5.0432
ECMDB21033,2.2965
ECMDB21037,2.9848
ECMDB21041,2.0543
ECMDB21042,3.8542
ECMDB21044,3.4661
ECMDB21045,2.5593
ECMDB21049,2.3594
ECMDB21050,3.7224
ECMDB21054,2.9760
ECMDB21055,2.9008
ECMDB21060,3.4300
ECMDB21062,3.7930
ECMDB21063,2.8794
ECMDB21064,3.2315
ECMDB21065,3.7363
ECMDB21066,3.4629
ECMDB21067,3.0569
ECMDB21068,7.1754
ECMDB21070,6.5974
ECMDB21073,3.9896
ECMDB21075,7.6800
ECMDB21082,3.5552
ECMDB21084,2.0471
ECMDB21086,2.3774
ECMDB21103,4.5676
ECMDB21104,2.1152
ECMDB21105,3.3179
ECMDB21106,4.1501
ECMDB21108,2.2403
ECMDB21109,2.5499
HMDB0000010,0.1764
HMDB0000015,0.1633
HMDB0000016,0.0745
HMDB0000021,0.1795
HMDB0000032,0.2094
HMDB0000036,0.1232
HMDB0000037,0.0236
HMDB0000045,0.3033
HMDB0000054,2.6929
HMDB0000058,0.0042
HMDB0000061,0.5074
HMDB0000063,0.3839
HMDB0000067,1.0490
HMDB0000082,0.1406
HMDB0000095,0.0721
HMDB0000125,0.1607
HMDB0000138,0.1064
HMDB0000163,0.0142
HMDB0000175,1.0459
HMDB0000186,0.0612
HMDB0000217,5.0187
HMDB0000218,0.0729
HMDB0000221,3.6239
HMDB0000222,2.3079
HMDB0000229,0.7656
HMDB0000230,0.3719
HMDB0000241,1.2039
HMDB0000248,0.0647
HMDB0000253,0.0997
HMDB0000256,3.2002
HMDB0000265,1.0446
HMDB0000268,0.4505
HMDB0000269,1.2961
HMDB0000277,3.9193
HMDB0000280,1.1565
HMDB0000285,1.0622
HMDB0000286,1.7812
HMDB0000288,0.0677
HMDB0000290,3.1332
HMDB0000295,0.6484
HMDB0000302,2.4689
HMDB0000308,0.4408
HMDB0000315,0.0007
HMDB0000319,0.0819
HMDB0000326,0.1604
HMDB0000332,0.3256
HMDB0000352,0.0008
HMDB0000359,1.7565
HMDB0000363,0.3929
HMDB0000374,0.0061
HMDB0000380,0.2982
HMDB0000405,0.0252
HMDB0000416,0.4639
HMDB0000418,0.2952
HMDB0000430,2.2088
HMDB0000449,0.0148
HMDB0000489,0.3985
HMDB0000494,0.2759
HMDB0000496,1.3416
HMDB0000501,1.0778
HMDB0000518,0.5733
HMDB0000526,0.0229
HMDB0000534,0.0646
HMDB0000538,2.3013
HMDB0000550,0.0008
HMDB0000561,2.6126
HMDB0000569,1.7989
HMDB0000570,1.3498
HMDB0000572,2.3422
HMDB0000582,1.0288
HMDB0000585,1.0291
HMDB0000600,1.1520
HMDB0000601,1.0906
HMDB0000610,2.7901
HMDB0000619,0.6510
HMDB0000626,0.7514
HMDB0000631,1.9458
HMDB0000637,1.5603
HMDB0000643,0.8512
HMDB0000651,1.5095
HMDB0000653,1.3531
HMDB0000656,2.3580
HMDB0000658,1.1985
HMDB0000674,3.3262
HMDB0000686,0.5062
HMDB0000693,1.9802
HMDB0000698,0.2651
HMDB0000708,0.6386
HMDB0000722,2.6359
HMDB0000733,0.4981
HMDB0000737,1.2117
HMDB0000739,1.6450
HMDB0000757,0.9509
HMDB0000760,1.3596
HMDB0000761,1.0665
HMDB0000774,0.0238
HMDB0000797,1.8779
HMDB0000801,2.1612
HMDB0000814,0.0287
HMDB0000825,1.3658
HMDB0000848,1.9170
HMDB0000851,1.5157
HMDB0000874,2.9192
HMDB0000876,0.0343
HMDB0000878,1.2167
HMDB0000879,0.2878
HMDB0000885,1.4585
HMDB0000896,1.1995
HMDB0000900,0.8905
HMDB0000902,5.1302
HMDB0000903,0.4298
HMDB0000907,0.6300
HMDB0000908,0.4907
HMDB0000912,1.5994
HMDB0000917,0.0651
HMDB0000918,2.7563
HMDB0000921,1.2996
HMDB0000939,1.6191
HMDB0000944,3.5393
HMDB0000946,0.1867
HMDB0000949,0.4559
HMDB0000950,3.3086
HMDB0000951,1.7313
HMDB0000961,1.1488
HMDB0000975,0.1757
HMDB0000998,1.0428
HMDB0001000,2.3821
HMDB0001032,0.0933
HMDB0001043,1.6405
HMDB0001045,2.7644
HMDB0001056,2.8036
HMDB0001058,0.8412
HMDB0001060,4.3604
HMDB0001062,0.6098
HMDB0001067,1.2093
HMDB0001081,0.0854
HMDB0001085,1.7062
HMDB0001091,0.9223
HMDB0001139,1.7324
HMDB0001155,4.3054
HMDB0001160,3.9027
HMDB0001170,1.3166
HMDB0001185,1.8853
HMDB0001191,1.3718
HMDB0001198,2.0868
HMDB0001201,0.6139
HMDB0001220,1.2012
HMDB0001244,2.1737
HMDB0001248,2.7249
HMDB0001251,0.0892
HMDB0001262,0.2537
HMDB0001273,1.0840
HMDB0001296,3.6109
HMDB0001314,1.3492
HMDB0001341,2.3478
HMDB0001367,0.1338
HMDB0001372,1.5140
HMDB0001383,1.9178
HMDB0001396,1.2081
HMDB0001397,0.5136
HMDB0001403,1.1872
HMDB0001419,1.4122
HMDB0001420,0.5659
HMDB0001425,0.3138
HMDB0001438,2.2501
HMDB0001442,0.9605
HMDB0001449,0.0290
HMDB0001452,1.0437
HMDB0001455,0.0040
HMDB0001471,0.1210
HMDB0001487,3.5657
HMDB0001496,0.7367
HMDB0001509,2.9278
HMDB0001517,0.4948
HMDB0001520,0.7654
HMDB0001532,3.7185
HMDB0001533,0.2794
HMDB0001546,1.4631
HMDB0001547,0.0115
HMDB0001562,0.3240
HMDB0001830,0.0086
HMDB0001846,1.4284
HMDB0001852,2.6359
HMDB0001903,0.3602
HMDB0001976,2.2318
HMDB0001993,0.6306
HMDB0001999,2.0166
HMDB0002014,1.5635
HMDB0002027,1.3880
HMDB0002088,3.3432
HMDB0002094,1.3044
HMDB0002098,1.3150
HMDB0002103,0.4338
HMDB0002158,1.3175
HMDB0002163,0.2778
HMDB0002177,2.0072
HMDB0002181,2.8463
HMDB0002183,2.3995
HMDB0002190,1.5885
HMDB0002195,0.0352
HMDB0002200,2.0180
HMDB0002226,1.4935
HMDB0002231,4.0837
HMDB0002232,1.5932
HMDB0002250,2.7582
HMDB0002265,1.8671
HMDB0002277,1.2932
HMDB0002283,4.2878
HMDB0002311,1.6001
HMDB0002314,2.7178
HMDB0002343,1.9003
HMDB0002356,2.1257
HMDB0002364,0.0052
HMDB0002368,3.0587
HMDB0002369,1.1233
HMDB0002374,1.4050
HMDB0002409,0.3674
HMDB0002504,1.0200
HMDB0002580,1.0162
HMDB0002586,1.1691
HMDB0002639,2.4047
HMDB0002642,0.4794
HMDB0002656,2.1056
HMDB0002664,0.5848
HMDB0002666,2.5633
HMDB0002685,1.5312
HMDB0002689,2.1914
HMDB0002710,1.2264
HMDB0002719,0.6297
HMDB0002752,2.5081
HMDB0002759,0.0730
HMDB0002776,2.1835
HMDB0002802,0.2434
HMDB0002815,2.2426
HMDB0002823,1.9646
HMDB0002829,0.0602
HMDB0002833,0.4792
HMDB0002884,2.7297
HMDB0002886,1.0040
HMDB0002902,1.5877
HMDB0002904,0.4363
HMDB0002923,1.1053
HMDB0002925,1.6169
HMDB0002972,2.5070
HMDB0002984,0.0008
HMDB0003034,0.8338
HMDB0003069,0.1233
HMDB0003080,2.1139
HMDB0003128,0.0047
HMDB0003141,1.1719
HMDB0003175,1.3524
HMDB0003180,0.0570
HMDB0003193,0.4319
HMDB0003252,1.9660
HMDB0003337,3.4396
HMDB0003474,1.3687
HMDB0003502,0.5308
HMDB0003514,0.7020
HMDB0003540,0.0940
HMDB0003550,1.7694
HMDB0003572,1.1120
HMDB0003598,1.5875
HMDB0003648,2.6173
HMDB0003733,2.0470
HMDB0003759,0.0216
HMDB0003871,1.7271
HMDB0003876,2.0019
HMDB0003933,2.6258
HMDB0003955,0.0276
HMDB0003993,0.7877
HMDB0004025,0.1832
HMDB0004026,0.4850
HMDB0004029,0.0435
HMDB0004030,0.0985
HMDB0004031,0.1574
HMDB0004068,0.0008
HMDB0004080,1.9638
HMDB0004158,2.7197
HMDB0004160,2.1554
HMDB0004236,1.6522
HMDB0004238,2.2751
HMDB0004240,1.5243
HMDB0004242,1.7187
HMDB0004243,1.9734
HMDB0004244,2.3840
HMDB0004264,1.9277
HMDB0004385,2.9848
HMDB0004483,1.0901
HMDB0004484,0.4258
HMDB0004645,1.5268
HMDB0004666,2.1629
HMDB0004673,1.6154
HMDB0004679,1.6208
HMDB0004680,1.6486
HMDB0004682,2.5770
HMDB0004684,1.4040
HMDB0004685,2.2360
HMDB0004688,1.2058
HMDB0004693,1.3731
HMDB0004704,2.9526
HMDB0004705,2.1595
HMDB0004708,1.9928
HMDB0004710,1.7275
HMDB0004824,0.1274
HMDB0004947,1.8970
HMDB0004948,2.8529
HMDB0004949,4.8972
HMDB0004950,5.2152
HMDB0004951,2.9436
HMDB0004952,4.7477
HMDB0004953,2.2439
HMDB0004955,4.5936
HMDB0004956,3.1321
HMDB0004957,2.4430
HMDB0005028,1.2647
HMDB0005045,3.2200
HMDB0005049,3.2303
HMDB0005056,1.1944
HMDB0005060,3.1502
HMDB0005065,4.5140
HMDB0005066,3.3025
HMDB0005073,2.7496
HMDB0005079,1.7691
HMDB0005081,1.7617
HMDB0005083,1.7075
HMDB0005087,2.4870
HMDB0005088,1.4402
HMDB0005095,2.6720
HMDB0005096,3.5299
HMDB0005099,0.4084
HMDB0005102,1.6952
HMDB0005189,3.4510
HMDB0005193,4.1131
HMDB0005768,1.0956
HMDB0005770,1.3691
HMDB0005789,2.5470
HMDB0005821,0.2727
HMDB0005972,0.0081
HMDB0005998,2.2888
HMDB0006031,0.0008
HMDB0006045,1.2026
HMDB0006059,1.5872
HMDB0006070,0.1701
HMDB0006111,1.5465
HMDB0006117,3.0884
HMDB0006119,1.0190
HMDB0006203,0.9254
HMDB0006219,3.6793
HMDB0006224,0.0724
HMDB0006245,3.8908
HMDB0006247,1.2776
HMDB0006317,3.9375
HMDB0006327,1.6828
HMDB0006335,1.6083
HMDB0006461,2.6345
HMDB0006464,3.0763
HMDB0006465,2.7374
HMDB0006469,3.8138
HMDB0006528,2.3791
HMDB0006535,0.0150
HMDB0006552,0.2106
HMDB0006566,1.2438
HMDB0006567,2.9918
HMDB0006569,1.9572
HMDB0006587,0.7877
HMDB0006606,1.7591
HMDB0006707,8.4980
HMDB0006725,2.9530
HMDB0006726,3.1688
HMDB0006727,5.1914
HMDB0006730,2.4943
HMDB0006731,2.7769
HMDB0006733,2.4440
HMDB0006734,1.6174
HMDB0006736,4.2409
HMDB0006737,2.9216
HMDB0006740,3.1613
HMDB0006759,0.0883
HMDB0006766,0.8426
HMDB0006840,0.3184
HMDB0006841,0.0726
HMDB0006940,2.4578
HMDB0007011,4.7340
HMDB0007012,2.3222
HMDB0007013,5.6027
HMDB0007014,3.8417
HMDB0007015,2.0842
HMDB0007016,3.1259
HMDB0007017,8.2862
HMDB0007018,3.7365
HMDB0007020,5.2932
HMDB0007021,2.1676
HMDB0007022,3.2073
