Ligand,RMSD
ECMDB00045,2.7741
ECMDB00048,0.9180
ECMDB00055,1.2769
ECMDB00058,0.1159
ECMDB00061,1.4355
ECMDB00082,2.5577
ECMDB00095,0.6609
ECMDB00121,1.7051
ECMDB00125,1.9715
ECMDB00163,0.5850
ECMDB00186,1.1206
ECMDB00189,1.6753
ECMDB00217,3.2561
ECMDB00218,1.1745
ECMDB00229,1.5317
ECMDB00241,0.7467
ECMDB00244,0.9900
ECMDB00258,0.8384
ECMDB00280,1.4843
ECMDB00285,2.0078
ECMDB00288,1.6367
ECMDB00290,1.3134
ECMDB00293,1.6654
ECMDB00295,1.2744
ECMDB00302,1.7223
ECMDB00538,1.2909
ECMDB00570,1.5018
ECMDB00674,3.5210
ECMDB00797,1.4417
ECMDB00830,0.4608
ECMDB00902,4.1285
ECMDB00905,1.3158
ECMDB00939,1.7087
ECMDB00960,2.9617
ECMDB00961,1.7603
ECMDB00972,1.5719
ECMDB00975,1.2029
ECMDB00988,2.0230
ECMDB00998,0.8356
ECMDB00999,2.2312
ECMDB01000,1.1864
ECMDB01003,3.6999
ECMDB01044,2.5826
ECMDB01056,1.5110
ECMDB01058,1.6451
ECMDB01060,4.5015
ECMDB01062,1.3918
ECMDB01066,1.2250
ECMDB01079,2.1423
ECMDB01094,4.0368
ECMDB01095,3.7712
ECMDB01097,1.1362
ECMDB01117,1.8289
ECMDB01121,1.4249
ECMDB01124,1.4197
ECMDB01134,1.0602
ECMDB01142,1.1466
ECMDB01144,3.4181
ECMDB01163,2.9680
ECMDB01174,1.9759
ECMDB01178,1.8795
ECMDB01179,4.4371
ECMDB01185,2.2411
ECMDB01191,2.3072
ECMDB01193,2.6548
ECMDB01197,3.1072
ECMDB01201,1.9456
ECMDB01202,1.1818
ECMDB01227,1.4691
ECMDB01245,1.5422
ECMDB01248,4.0070
ECMDB01261,1.4344
ECMDB01262,1.1388
ECMDB01271,1.2300
ECMDB01273,1.8730
ECMDB01274,2.5074
ECMDB01285,1.5176
ECMDB01296,2.1716
ECMDB01308,1.6737
ECMDB01317,0.8331
ECMDB01328,1.3427
ECMDB01332,1.2808
ECMDB01341,1.2380
ECMDB01342,1.8351
ECMDB01346,4.9312
ECMDB01354,1.1051
ECMDB01367,0.7219
ECMDB01372,1.6131
ECMDB01373,1.5687
ECMDB01384,1.5207
ECMDB01391,3.5721
ECMDB01396,2.7692
ECMDB01397,2.3930
ECMDB01399,3.8906
ECMDB01409,0.9597
ECMDB01412,2.8121
ECMDB01416,1.3076
ECMDB01423,2.4351
ECMDB01439,0.9084
ECMDB01440,2.6638
ECMDB01487,3.2344
ECMDB01517,0.6145
ECMDB01520,1.2838
ECMDB01532,1.7119
ECMDB01546,2.1902
ECMDB01550,2.1977
ECMDB01554,0.8504
ECMDB01562,1.5044
ECMDB01846,3.2000
ECMDB02158,1.3386
ECMDB02666,2.2155
ECMDB03266,2.8202
ECMDB03335,1.3103
ECMDB03419,4.1324
ECMDB03502,0.9632
ECMDB03514,0.7872
ECMDB03536,1.0753
ECMDB03540,1.1201
ECMDB03556,2.1300
ECMDB03826,1.8880
ECMDB03882,0.6156
ECMDB04007,0.7170
ECMDB04010,2.0610
ECMDB04033,1.4698
ECMDB04034,0.2273
