Ligand,RMSD
ECMDB00045,1.3803
ECMDB00048,1.0661
ECMDB00055,0.9176
ECMDB00058,0.6492
ECMDB00061,0.9430
ECMDB00082,3.4121
ECMDB00095,0.7047
ECMDB00121,1.3404
ECMDB00125,2.1348
ECMDB00163,0.1116
ECMDB00186,0.7436
ECMDB00189,2.2866
ECMDB00217,4.6020
ECMDB00218,1.2639
ECMDB00229,1.1123
ECMDB00241,0.7002
ECMDB00244,1.6238
ECMDB00258,0.1243
ECMDB00280,2.0531
ECMDB00285,2.6921
ECMDB00288,1.0755
ECMDB00290,4.2947
ECMDB00293,1.6947
ECMDB00295,1.9241
ECMDB00302,2.0458
ECMDB00538,2.3896
ECMDB00570,1.2349
ECMDB00674,4.0225
ECMDB00797,2.0945
ECMDB00830,0.6079
ECMDB00902,2.4624
ECMDB00905,1.1336
ECMDB00939,2.4530
ECMDB00960,2.0515
ECMDB00961,1.6961
ECMDB00972,1.9700
ECMDB00975,1.2478
ECMDB00988,2.1041
ECMDB00998,1.7448
ECMDB00999,1.2335
ECMDB01000,0.7548
ECMDB01003,1.0186
ECMDB01044,0.3924
ECMDB01056,3.2023
ECMDB01058,1.4423
ECMDB01060,4.1518
ECMDB01062,0.8827
ECMDB01066,2.3788
ECMDB01079,2.2878
ECMDB01094,4.3597
ECMDB01095,1.3878
ECMDB01097,1.1406
ECMDB01117,1.7170
ECMDB01121,0.6521
ECMDB01124,1.7945
ECMDB01134,2.2566
ECMDB01142,3.0787
ECMDB01144,2.8000
ECMDB01163,2.9958
ECMDB01174,1.7777
ECMDB01178,2.3615
ECMDB01179,2.8277
ECMDB01185,2.6464
ECMDB01191,1.3649
ECMDB01193,2.7892
ECMDB01197,3.4963
ECMDB01201,0.7146
ECMDB01202,1.0257
ECMDB01227,0.8867
ECMDB01245,2.2000
ECMDB01248,2.6943
ECMDB01261,1.4808
ECMDB01262,1.4283
ECMDB01271,0.9890
ECMDB01273,1.2903
ECMDB01274,2.3284
ECMDB01285,3.4398
ECMDB01296,1.5434
ECMDB01308,0.6521
ECMDB01317,1.0746
ECMDB01328,3.1581
ECMDB01332,1.6833
ECMDB01341,2.3536
ECMDB01342,2.3655
ECMDB01346,2.7550
ECMDB01354,1.1653
ECMDB01367,0.6846
ECMDB01372,1.8420
ECMDB01373,2.1819
ECMDB01384,2.2802
ECMDB01391,2.8858
ECMDB01396,2.5216
ECMDB01397,1.6581
ECMDB01399,1.7004
ECMDB01409,1.1554
ECMDB01412,3.2301
ECMDB01416,1.6627
ECMDB01423,2.7349
ECMDB01439,2.2255
ECMDB01440,2.9535
ECMDB01487,2.1191
ECMDB01517,1.4444
ECMDB01520,2.9921
ECMDB01532,1.4770
ECMDB01546,0.9196
ECMDB01550,1.7210
ECMDB01554,1.8231
ECMDB01562,2.2371
ECMDB01846,1.5030
ECMDB02158,1.1730
ECMDB02666,0.9528
ECMDB03266,3.5481
ECMDB03335,1.7205
ECMDB03419,4.4295
ECMDB03502,0.8304
ECMDB03514,0.7569
ECMDB03536,0.8537
ECMDB03540,1.4251
ECMDB03556,0.5717
ECMDB03826,1.6552
ECMDB03882,0.4635
ECMDB04007,2.2194
ECMDB04010,1.2449
ECMDB04033,3.7592
ECMDB04034,1.4598
ECMDB04052,0.5141
ECMDB04053,3.0701
ECMDB04063,2.6195
ECMDB04085,1.9945
ECMDB04108,0.7781
ECMDB04111,1.8827
ECMDB04117,2.1154
ECMDB04119,2.1891
ECMDB04120,2.1776
ECMDB04137,1.4884
ECMDB04138,1.7559
ECMDB04165,2.0101
ECMDB04166,3.0620
ECMDB04167,3.1044
ECMDB04168,3.1599
ECMDB04169,1.5246
ECMDB04171,1.0612
ECMDB04220,2.9456
ECMDB04662,2.1610
ECMDB06273,1.4054
ECMDB06354,2.7458
ECMDB06555,0.8801
ECMDB06557,3.0180
ECMDB06823,1.9327
ECMDB06834,2.8093
ECMDB06872,1.3625
ECMDB06876,3.4070
ECMDB07858,2.8161
ECMDB07859,4.2811
ECMDB07860,3.8486
ECMDB07861,3.9497
ECMDB07862,2.6916
ECMDB07863,4.2702
ECMDB07864,3.0609
ECMDB07865,3.0638
ECMDB08821,5.0600
ECMDB08824,2.9801
ECMDB08827,5.2115
ECMDB08920,3.4585
ECMDB08923,3.2847
ECMDB08924,4.4410
ECMDB08953,3.8538
ECMDB08956,3.5223
ECMDB08957,2.1398
ECMDB08959,3.3442
ECMDB09019,3.7985
ECMDB09022,2.7554
ECMDB09023,4.6677
ECMDB10573,2.9995
ECMDB10615,5.4002
ECMDB10616,3.2186
ECMDB10618,6.5682
ECMDB11145,2.5664
ECMDB11155,2.5068
ECMDB11156,1.7866
ECMDB11616,0.6505
ECMDB11629,1.1217
ECMDB11688,0.6896
ECMDB12277,1.2842
ECMDB12278,2.4261
ECMDB12330,3.8952
ECMDB12332,2.9090
ECMDB12333,5.0059
ECMDB12352,2.5298
ECMDB12363,4.4921
ECMDB12366,4.3479
ECMDB20003,1.4578
ECMDB20004,1.4572
ECMDB20006,4.2200
ECMDB20019,2.1040
ECMDB20024,2.5286
ECMDB20025,1.8776
ECMDB20026,2.0671
ECMDB20027,2.0033
ECMDB20033,0.3428
ECMDB20034,2.5185
ECMDB20035,3.0552
ECMDB20049,3.0096
ECMDB20050,1.5073
ECMDB20054,2.6215
ECMDB20055,2.1660
ECMDB20058,1.1732
ECMDB20059,3.1841
ECMDB20062,0.3981
ECMDB20068,1.6599
ECMDB20078,3.0001
ECMDB20079,1.0079
ECMDB20081,0.9053
ECMDB20083,2.5511
ECMDB20088,1.4115
ECMDB20096,3.1523
ECMDB20099,1.6727
ECMDB20106,1.0834
ECMDB20110,2.8230
ECMDB20112,2.0762
ECMDB20113,4.0658
ECMDB20117,1.1807
ECMDB20123,0.5847
ECMDB20133,3.5805
ECMDB20139,1.4835
ECMDB20145,1.9196
ECMDB20148,1.7155
ECMDB20154,1.9272
ECMDB20155,2.9239
ECMDB20156,1.7053
ECMDB20157,0.4511
ECMDB20158,1.3485
ECMDB20161,0.5580
ECMDB20170,2.4264
ECMDB20171,1.2690
ECMDB20174,1.2257
ECMDB20175,1.2045
ECMDB20177,0.6305
ECMDB20178,1.3315
ECMDB20186,1.3805
ECMDB20187,1.9585
ECMDB20188,1.9323
ECMDB20189,2.3325
ECMDB20191,1.2181
ECMDB20192,1.7478
ECMDB20196,0.8419
ECMDB20202,1.5579
ECMDB20226,1.2738
ECMDB20238,1.1726
ECMDB20246,1.1464
ECMDB20267,1.4706
ECMDB20281,1.1834
ECMDB20298,1.7041
ECMDB20324,1.4474
ECMDB20325,2.3192
ECMDB20347,0.8405
ECMDB20428,1.7741
ECMDB20429,2.4016
ECMDB20469,4.8413
ECMDB20470,1.9105
ECMDB20485,1.6200
ECMDB20518,0.8132
ECMDB20537,3.1749
ECMDB20547,1.3756
ECMDB20549,3.4366
ECMDB20557,2.4417
ECMDB20558,2.4682
ECMDB20562,1.6846
ECMDB20564,1.0535
ECMDB20573,2.4026
ECMDB20575,1.3090
ECMDB20579,3.7982
ECMDB20594,0.9547
ECMDB20601,0.0006
ECMDB20608,2.2196
ECMDB20612,2.8278
ECMDB20613,2.1633
ECMDB20620,2.0932
ECMDB20622,2.9444
ECMDB21000,2.1703
ECMDB21005,0.2589
ECMDB21014,3.3016
ECMDB21015,2.1257
ECMDB21016,4.1636
ECMDB21017,3.6921
ECMDB21018,3.9850
ECMDB21019,2.4624
ECMDB21020,3.7129
ECMDB21021,2.4986
ECMDB21024,4.3083
ECMDB21025,2.9956
ECMDB21026,2.3043
ECMDB21027,5.9700
ECMDB21028,4.0285
ECMDB21030,2.2567
ECMDB21033,3.2364
ECMDB21037,3.0922
ECMDB21041,3.1875
ECMDB21042,3.8205
ECMDB21044,4.1734
ECMDB21045,3.3068
ECMDB21049,2.4397
ECMDB21050,2.8845
ECMDB21054,4.1534
ECMDB21055,2.5753
ECMDB21060,3.6030
ECMDB21062,2.3695
ECMDB21063,2.0911
ECMDB21064,3.0734
ECMDB21065,3.6314
ECMDB21066,2.2858
ECMDB21067,3.2185
ECMDB21068,3.1338
ECMDB21070,6.5051
ECMDB21073,5.3421
ECMDB21075,3.4761
ECMDB21082,3.7621
ECMDB21084,4.2823
ECMDB21086,2.9895
ECMDB21103,3.4281
ECMDB21104,4.0802
ECMDB21105,5.7835
ECMDB21106,6.8061
ECMDB21108,4.3649
ECMDB21109,4.0192
HMDB0000010,0.0679
HMDB0000015,0.2986
HMDB0000016,0.2779
HMDB0000021,0.8626
HMDB0000032,0.5057
HMDB0000036,2.0885
HMDB0000037,0.3166
HMDB0000045,1.0985
HMDB0000054,1.1325
HMDB0000058,1.0149
HMDB0000061,0.9820
HMDB0000063,0.2684
HMDB0000067,0.3863
HMDB0000082,1.7909
HMDB0000095,0.8012
HMDB0000125,1.3982
HMDB0000138,1.6802
HMDB0000163,1.2386
HMDB0000175,1.9049
HMDB0000186,0.3466
HMDB0000217,3.9699
HMDB0000218,1.8405
HMDB0000221,3.4119
HMDB0000222,4.8564
HMDB0000229,1.7942
HMDB0000230,1.1647
HMDB0000241,0.8496
HMDB0000248,1.1621
HMDB0000253,0.0450
HMDB0000256,3.4884
HMDB0000265,1.2137
HMDB0000268,0.4032
HMDB0000269,2.0116
HMDB0000277,3.5400
HMDB0000280,1.6630
HMDB0000285,2.9405
HMDB0000286,3.3933
HMDB0000288,0.5832
HMDB0000290,1.1781
HMDB0000295,0.9811
HMDB0000302,1.5090
HMDB0000308,1.3194
HMDB0000315,0.0406
HMDB0000319,0.4260
HMDB0000326,1.1320
HMDB0000332,0.2631
HMDB0000352,0.0006
HMDB0000359,2.0061
HMDB0000363,0.0921
HMDB0000374,0.0944
HMDB0000380,0.2980
HMDB0000405,0.2245
HMDB0000416,0.5518
HMDB0000418,0.2520
HMDB0000430,1.7592
HMDB0000449,0.3308
HMDB0000489,0.9026
HMDB0000494,1.9520
HMDB0000496,0.7556
HMDB0000501,0.5542
HMDB0000518,1.2644
HMDB0000526,0.3637
HMDB0000534,1.4335
HMDB0000538,2.5956
HMDB0000550,0.0008
HMDB0000561,1.7177
HMDB0000569,2.6481
HMDB0000570,1.2230
HMDB0000572,1.7753
HMDB0000582,1.3608
HMDB0000585,2.1164
HMDB0000600,0.6207
HMDB0000601,1.9993
HMDB0000610,2.3497
HMDB0000619,1.2800
HMDB0000626,0.2994
HMDB0000631,2.4645
HMDB0000637,1.2501
HMDB0000643,0.9517
HMDB0000651,1.6504
HMDB0000653,0.8661
HMDB0000656,1.6172
HMDB0000658,2.7426
HMDB0000674,2.6238
HMDB0000686,1.2975
HMDB0000693,1.3404
HMDB0000698,2.1896
HMDB0000708,1.1968
HMDB0000722,2.5466
HMDB0000733,0.6273
HMDB0000737,1.4325
HMDB0000739,2.1710
HMDB0000757,1.7734
HMDB0000760,1.2333
