GDT_TS,Median,StDev
45.2,5.9048782,0.045222043
61.11,5.501277352,0.161355203
63.55,5.46433406,0.02061124
69.12,5.294744189,0.100907059
72.11,4.998102849,0.090124136
80.34,4.882237832,0.015609731
82.3,4.934801374,0.029989914
83.9,4.661320101,0.131892046
84.12,4.368578084,0.099056048
85.9,4.153502297,0.061044374
86.28,3.998672946,0.057277929
87.37,4.027548723,0.028259769
87.5,3.932256633,0.021258286
87.63,3.84642293,0.03151393
89.49,3.798589846,0.015172491
90.39,3.726230984,0.018978534
90.48,3.611390875,0.055410316
90.7,3.408135492,0.051002882
90.72,3.400918769,0.007371227
91.1,3.322656775,0.033441797
92.18,3.250503622,0.029368259
92.66,3.114890084,0.032835725
93.28,3.065362343,0.005661392
93.84,2.977660003,0.035079547
96,2.895379395,0.028502193
96.45,2.797533993,0.039014736
96.81,2.7072045,0.017065605
97.57,2.658864756,0.012046497
98.08,2.569972378,0.033728724
