GDT_TS,1,2,3
45.2,18.87562694,19.098506,18.99620917
61.11,16.28408253,13.16910628,14.24168369
63.55,13.94789586,16.16189483,14.77809203
69.12,14.38633967,12.39062749,12.93598677
72.11,11.57616571,10.22187124,10.76638359
80.34,10.17307342,10.05138227,10.17307342
82.3,10.38076064,11.15790775,10.68618973
83.9,10.85135226,10.49870515,10.64032875
84.12,10.47389029,10.42520827,10.47886713
85.9,10.1527093,9.115009465,9.614913133
86.28,8.886578953,8.535639827,8.627383251
87.37,8.676209816,8.535639827,8.65934152
87.5,8.404929387,8.207893073,8.326975279
87.63,8.295610291,8.390090801,8.295610291
89.49,8.627383251,9.049436799,8.935300681
90.39,8.927549079,8.503244453,8.74120008
90.48,8.350410737,7.724185099,8.11477961
90.7,7.323243738,6.702618553,7.162138257
90.72,6.996730935,7.459332969,7.250652449
91.1,7.250652449,6.720388519,6.941521357
92.18,6.883308409,7.16901715,7.060213023
92.66,7.093672618,7.038693203,7.060213023
93.28,7.16901715,7.323243738,7.2460693
93.84,7.237542957,7.120136549,7.149428365
96,7.120136549,7.250652449,7.194372126
96.45,7.072638728,6.619798773,6.825110398
96.81,6.546558804,6.463450671,6.479858193
97.57,6.470722129,6.447751317,6.467041933
98.08,6.275893291,5.974977691,6.098917068
