GDT_TS,Median,StDev
45.2,18.99620917,0.111564474
61.11,14.24168369,1.582450232
63.55,14.77809203,1.118475695
69.12,12.93598677,1.031488195
72.11,10.76638359,0.681463414
80.34,10.17307342,0.070258417
82.3,10.68618973,0.391527448
83.9,10.64032875,0.177458045
84.12,10.47389029,0.02964788
85.9,9.614913133,0.518965209
86.28,8.627383251,0.182006198
87.37,8.65934152,0.076753469
87.5,8.326975279,0.09923098
87.63,8.295610291,0.054548348
89.49,8.935300681,0.218315289
90.39,8.74120008,0.21267473
90.48,8.11477961,0.31629223
90.7,7.162138257,0.322047863
90.72,7.250652449,0.231669426
91.1,6.941521357,0.26634614
92.18,7.060213023,0.144200708
92.66,7.060213023,0.027704943
93.28,7.2460693,0.077113302
93.84,7.149428365,0.061109814
96,7.194372126,0.06546347
96.45,6.825110398,0.226747717
96.81,6.479858193,0.044017308
97.57,6.467041933,0.012337814
98.08,6.098917068,0.151234779
