GDT_TS,Mean,StDev
45.2,0.106126154,0.008074644
61.11,0.104195414,0.003094208
63.55,0.136892565,0.020129289
69.12,0.119750574,0.004602109
72.11,0.108629588,0.000280838
80.34,0.111257826,0.003946203
82.3,0.111545008,0.001938293
83.9,0.105620943,0.001883564
84.12,0.100252407,0.000608487
85.9,0.104184179,0.003154439
86.28,0.106905744,0.001670027
87.37,0.108908861,0.00043975
87.5,0.104286724,0.002637322
87.63,0.10030295,0.000710825
89.49,0.100438342,0.000100284
90.39,0.103860297,0.001282136
90.48,0.105304263,0.000691738
90.7,0.104812359,0.000195527
90.72,0.107216979,0.001087675
91.1,0.108576272,0.000805805
92.18,0.112542555,0.00201957
92.66,0.109903176,0.001583386
93.28,0.108397358,0.000221256
93.84,0.106519209,0.000794707
96,0.104254262,0.000303504
96.45,0.103255639,0.000769137
96.81,0.100940365,0.000454335
97.57,0.100773559,0.00066447
98.08,0.102290945,0.000928455
