GDT_TS,Mean,StDev
45.2,0.04430824,0.00487053
61.11,0.061685371,0.0078216
63.55,0.086130438,0.010190032
69.12,0.088944614,0.002038757
72.11,0.092773095,0.003242582
80.34,0.097263492,0.000266947
82.3,0.11587374,0.011887548
83.9,0.121019542,0.004208499
84.12,0.115227701,0.000908162
85.9,0.115125416,0.002707662
86.28,0.116253901,0.001034878
87.37,0.115168899,0.001891465
87.5,0.109155203,0.002200361
87.63,0.106997725,0.000631052
89.49,0.109778297,0.001367402
90.39,0.11217604,0.000479126
90.48,0.112634703,8.61E-05
90.7,0.111241294,0.000609793
90.72,0.113228716,0.001989725
91.1,0.113269736,0.001464735
92.18,0.1152821,0.002257622
92.66,0.118900409,0.000624841
93.28,0.114534489,0.001854287
93.84,0.111827292,0.000168868
96,0.111579474,0.000274481
96.45,0.105011546,0.002832772
96.81,0.101384363,0.000496294
97.57,0.100224633,0.000133166
98.08,0.101568169,0.00075191
