GDT_TS,1,2,3
45.20,17.373712429972706,16.94815971988346,17.7533081756454
61.11,16.31137844257712,14.046691021021903,14.486755388509984
63.55,14.555950542031958,15.871106918005712,15.05390820294656
69.12,14.990251330105963,13.809882623067232,14.451707719116605
72.11,13.134214743059097,11.87572352331389,12.416475712333636
80.34,12.157231845412307,12.416475712333636,12.299882000489403
82.30,12.637039328180578,13.288373571468103,13.046847719368312
83.90,12.750972006442655,12.274212917452369,12.55666231611775
84.12,12.091743449164575,11.668000118725669,11.87572352331389
85.90,11.488709847209519,11.214879669139913,11.387261326440587
86.28,11.128149160976694,10.823254075930645,10.994076527477901
87.37,10.651466307125096,10.354170378761925,10.460949126151288
87.50,10.181705818938235,9.754293931200332,10.010261647841467
87.63,9.911341081659339,10.094128011478379,10.010261647841467
89.49,10.097802182036734,10.07115977733784,10.094128011478379
90.39,10.027035429574802,9.848151088817453,9.925298253794445
90.48,9.587347218185919,9.210906949098488,9.354714329373536
90.70,9.056994561019131,8.590493691157004,8.880332533575755
90.72,8.839983656670867,9.104434514950327,8.953756311247425
91.10,8.988713783045055,8.670891001822847,8.81881086207076
92.18,8.775691691100372,8.862158619686607,8.784816141026383
92.66,8.886311093662542,8.953756311247425,8.921868538863837
93.28,9.014596715642295,9.143621492671006,9.089015391326235
93.84,9.09707770374992,9.016447704319432,9.077345070016285
96.00,8.953756311247425,8.882299338333151,8.926581468797702
96.45,8.703590539894599,8.454524752885884,8.549205185993285
96.81,8.454524752885884,8.450335977639249,8.453495503876734
97.57,8.4066243039493,8.207021275761331,8.291301481261389
98.08,8.02943878936655,7.733111650876337,7.901436083113471
