Ligand,RMSD
ECMDB00045,0.4989
ECMDB00048,0.2574
ECMDB00055,0.0008
ECMDB00058,1.1718
ECMDB00061,0.9664
ECMDB00082,0.9798
ECMDB00095,0.0598
ECMDB00121,1.2118
ECMDB00125,1.3724
ECMDB00163,0.0074
ECMDB00186,1.0439
ECMDB00189,2.1987
ECMDB00217,4.1929
ECMDB00218,1.6121
ECMDB00229,1.1699
ECMDB00241,0.2323
ECMDB00244,0.0331
ECMDB00258,0.0118
ECMDB00280,1.1805
ECMDB00285,1.0441
ECMDB00288,0.0080
ECMDB00290,4.5991
ECMDB00293,1.8008
ECMDB00295,2.0602
ECMDB00302,2.3674
ECMDB00538,0.9658
ECMDB00570,1.2400
ECMDB00674,2.5777
ECMDB00797,1.5669
ECMDB00830,0.9857
ECMDB00902,3.7275
ECMDB00905,1.9694
ECMDB00939,1.9532
ECMDB00960,2.4232
ECMDB00961,4.1063
ECMDB00972,1.0226
ECMDB00975,0.0799
ECMDB00988,0.0545
ECMDB00998,1.3914
ECMDB00999,1.2297
ECMDB01000,1.1039
ECMDB01003,0.5219
ECMDB01044,1.0518
ECMDB01056,3.3637
ECMDB01058,0.7457
ECMDB01060,2.3192
ECMDB01062,1.3279
ECMDB01066,1.8133
ECMDB01079,2.3653
ECMDB01094,4.0861
ECMDB01095,3.4516
ECMDB01097,0.6686
ECMDB01117,1.4556
ECMDB01121,0.2280
ECMDB01124,0.2748
ECMDB01134,1.3769
ECMDB01142,0.0816
ECMDB01144,0.7008
ECMDB01163,2.1075
ECMDB01174,2.3617
ECMDB01178,1.3325
ECMDB01179,3.6973
ECMDB01185,1.6000
ECMDB01191,1.7229
ECMDB01193,2.4330
ECMDB01197,2.8624
ECMDB01201,0.0592
ECMDB01202,0.1175
ECMDB01227,2.4079
ECMDB01245,1.7889
ECMDB01248,3.2863
ECMDB01261,0.5355
ECMDB01262,0.1280
ECMDB01271,0.0408
ECMDB01273,2.8271
ECMDB01274,1.0750
ECMDB01285,1.5554
ECMDB01296,0.1549
ECMDB01308,1.5337
ECMDB01317,0.0685
ECMDB01328,3.5278
ECMDB01332,1.0584
ECMDB01341,2.6192
ECMDB01342,2.2681
ECMDB01346,0.1492
ECMDB01354,0.3368
ECMDB01367,0.0166
ECMDB01372,2.4144
ECMDB01373,2.2992
ECMDB01384,0.6460
ECMDB01391,1.2709
ECMDB01396,1.4941
ECMDB01397,0.8519
ECMDB01399,0.9274
ECMDB01409,0.6814
ECMDB01412,0.7208
ECMDB01416,1.8631
ECMDB01423,3.8987
ECMDB01439,0.4368
ECMDB01440,2.7819
ECMDB01487,3.6626
ECMDB01517,1.3974
ECMDB01520,2.5913
ECMDB01532,2.0255
ECMDB01546,1.6679
ECMDB01550,2.0864
ECMDB01554,1.9984
ECMDB01562,2.4773
ECMDB01846,1.6842
ECMDB02158,0.3085
ECMDB02666,1.8842
ECMDB03266,2.8578
ECMDB03335,0.6387
ECMDB03419,3.0545
ECMDB03502,0.6944
ECMDB03514,0.0540
ECMDB03536,2.5436
ECMDB03540,0.0147
ECMDB03556,0.9507
ECMDB03826,2.0749
ECMDB03882,0.1221
ECMDB04007,1.4870
ECMDB04010,0.0815
ECMDB04033,3.4276
ECMDB04034,0.0197
ECMDB04052,0.0326
ECMDB04053,2.5070
ECMDB04063,2.5822
ECMDB04085,2.6009
ECMDB04108,0.5431
ECMDB04111,5.0581
ECMDB04117,2.8287
ECMDB04119,2.4084
ECMDB04120,3.3328
ECMDB04137,0.8890
ECMDB04138,2.0489
ECMDB04165,2.3981
ECMDB04166,1.0219
ECMDB04167,0.3672
ECMDB04168,0.8579
ECMDB04169,2.4198
ECMDB04171,4.2903
ECMDB04220,4.1682
ECMDB04662,1.2350
ECMDB06273,0.0628
ECMDB06354,1.9263
ECMDB06555,1.2707
ECMDB06557,0.5365
ECMDB06823,2.2239
ECMDB06834,2.5755
ECMDB06872,0.1113
ECMDB06876,2.9470
ECMDB07858,4.2265
ECMDB07859,2.6776
ECMDB07860,3.3622
ECMDB07861,2.4392
ECMDB07862,2.4804
ECMDB07863,6.9992
ECMDB07864,2.3413
ECMDB07865,2.4831
ECMDB08821,2.8688
ECMDB08824,4.3063
ECMDB08827,2.2718
ECMDB08920,2.3374
ECMDB08923,1.6797
ECMDB08924,4.2104
ECMDB08953,3.6886
ECMDB08956,3.4533
ECMDB08957,5.4819
ECMDB08959,2.2183
ECMDB09019,3.4758
ECMDB09022,5.1111
ECMDB09023,2.1722
ECMDB10573,3.7421
ECMDB10615,2.4625
ECMDB10616,2.7900
ECMDB10618,9.7472
ECMDB11145,2.8772
ECMDB11155,3.1670
ECMDB11156,2.3545
ECMDB11616,0.3705
ECMDB11629,0.0275
ECMDB11688,0.0693
ECMDB12277,2.3551
ECMDB12278,1.5309
ECMDB12330,3.5699
ECMDB12332,3.2418
ECMDB12333,3.2637
ECMDB12352,6.5722
ECMDB12363,5.1122
ECMDB12366,4.0401
ECMDB20003,2.3019
ECMDB20004,2.5117
ECMDB20006,1.5479
ECMDB20019,1.7071
ECMDB20024,2.2291
ECMDB20025,1.5046
ECMDB20026,2.2789
ECMDB20027,1.3613
ECMDB20033,0.0158
ECMDB20034,2.5940
ECMDB20035,3.7528
ECMDB20049,5.0253
ECMDB20050,1.3423
ECMDB20054,2.3836
ECMDB20055,2.1169
ECMDB20058,2.6540
ECMDB20059,2.0249
ECMDB20062,0.0311
ECMDB20068,2.0791
ECMDB20078,2.7817
ECMDB20079,1.3571
ECMDB20081,0.0493
ECMDB20083,4.9155
ECMDB20088,2.6261
ECMDB20096,1.6198
ECMDB20099,0.0814
ECMDB20106,1.4753
ECMDB20110,2.2192
ECMDB20112,1.0054
ECMDB20113,4.1435
ECMDB20117,1.5652
ECMDB20123,0.1249
ECMDB20133,3.4238
ECMDB20139,2.0274
ECMDB20145,0.7385
ECMDB20148,1.3871
ECMDB20154,2.0624
ECMDB20155,3.3213
ECMDB20156,2.2017
ECMDB20157,1.3873
ECMDB20158,0.9560
ECMDB20161,0.3525
ECMDB20170,5.0924
ECMDB20171,0.4407
ECMDB20174,1.1865
ECMDB20175,0.0098
ECMDB20177,1.2820
ECMDB20178,0.1086
ECMDB20186,1.0914
ECMDB20187,1.9767
ECMDB20188,2.4515
ECMDB20189,1.9690
ECMDB20191,0.0663
ECMDB20192,1.7101
ECMDB20196,0.1633
ECMDB20202,0.8793
ECMDB20226,0.5447
ECMDB20238,0.0374
ECMDB20246,0.9702
ECMDB20267,1.3154
ECMDB20281,2.8593
ECMDB20298,2.8143
ECMDB20324,1.8945
ECMDB20325,0.3622
ECMDB20347,0.0237
ECMDB20428,2.1067
ECMDB20429,2.3043
ECMDB20469,2.4471
ECMDB20470,2.4274
ECMDB20485,3.3195
ECMDB20518,0.9434
ECMDB20537,0.1342
ECMDB20547,1.6325
ECMDB20549,1.7667
ECMDB20557,2.8973
ECMDB20558,1.6129
ECMDB20562,1.9738
ECMDB20564,0.0696
ECMDB20573,2.4044
ECMDB20575,1.3174
ECMDB20579,4.6977
ECMDB20594,0.1768
ECMDB20601,0.0008
ECMDB20608,2.0179
ECMDB20612,1.9379
ECMDB20613,3.4082
ECMDB20620,2.9904
ECMDB20622,2.5902
ECMDB21000,2.8196
ECMDB21005,0.2893
ECMDB21014,2.6038
ECMDB21015,3.1190
ECMDB21016,2.8875
ECMDB21017,3.2724
ECMDB21018,3.0372
ECMDB21019,2.5146
ECMDB21020,3.3259
ECMDB21021,4.2629
ECMDB21024,4.4169
ECMDB21025,3.8244
ECMDB21026,3.0582
ECMDB21027,2.8690
ECMDB21028,5.4988
ECMDB21030,4.1924
ECMDB21033,2.2641
ECMDB21037,2.6382
ECMDB21041,2.7979
ECMDB21042,3.6787
ECMDB21044,5.6664
ECMDB21045,1.7008
ECMDB21049,4.3097
ECMDB21050,3.4899
ECMDB21054,3.2448
ECMDB21055,3.2006
ECMDB21060,2.7966
ECMDB21062,2.9892
ECMDB21063,3.4603
ECMDB21064,2.8814
ECMDB21065,2.7574
ECMDB21066,3.0329
ECMDB21067,3.0116
ECMDB21068,2.5940
ECMDB21070,8.5118
ECMDB21073,4.3046
ECMDB21075,3.2004
ECMDB21082,3.1228
ECMDB21084,2.2957
ECMDB21086,3.2009
ECMDB21103,4.5141
ECMDB21104,3.2978
ECMDB21105,2.3116
ECMDB21106,3.6225
ECMDB21108,2.6947
ECMDB21109,2.4477
HMDB0000010,0.0120
HMDB0000015,0.3285
HMDB0000016,0.2582
HMDB0000021,0.0469
HMDB0000032,0.0800
HMDB0000036,2.0549
HMDB0000037,0.0072
HMDB0000045,1.9640
HMDB0000054,2.3724
HMDB0000058,1.1753
HMDB0000061,0.4259
HMDB0000063,0.0478
HMDB0000067,0.1136
HMDB0000082,2.5240
HMDB0000095,1.2544
HMDB0000125,1.5682
HMDB0000138,0.2258
HMDB0000163,0.0025
HMDB0000175,1.3980
HMDB0000186,0.0194
HMDB0000217,4.5514
HMDB0000218,0.0455
HMDB0000221,4.2740
HMDB0000222,1.7885
HMDB0000229,0.7406
HMDB0000230,0.0052
HMDB0000241,0.4596
HMDB0000248,0.0982
HMDB0000253,0.0018
HMDB0000256,4.1478
HMDB0000265,0.0379
HMDB0000268,0.2808
HMDB0000269,3.6825
HMDB0000277,1.8853
HMDB0000280,0.0557
HMDB0000285,3.2382
HMDB0000286,3.9949
HMDB0000288,0.0530
HMDB0000290,1.7554
HMDB0000295,1.2023
HMDB0000302,1.5603
HMDB0000308,0.4979
HMDB0000315,0.0028
HMDB0000319,0.0101
HMDB0000326,0.0677
HMDB0000332,0.0011
HMDB0000352,0.0008
HMDB0000359,0.7098
HMDB0000363,0.0126
HMDB0000374,0.0294
HMDB0000380,0.2480
HMDB0000405,0.3008
HMDB0000416,0.4378
HMDB0000418,0.0041
HMDB0000430,1.3929
HMDB0000449,0.0145
HMDB0000489,1.3629
HMDB0000494,0.0117
HMDB0000496,0.2159
HMDB0000501,0.3959
HMDB0000518,0.7085
HMDB0000526,0.0791
HMDB0000534,1.3614
HMDB0000538,3.0178
HMDB0000550,0.0007
HMDB0000561,2.9072
HMDB0000569,1.6510
HMDB0000570,1.2752
HMDB0000572,2.1224
HMDB0000582,0.1402
HMDB0000585,1.8386
HMDB0000600,0.1898
HMDB0000601,0.0734
HMDB0000610,2.0255
HMDB0000619,1.0623
HMDB0000626,0.4887
HMDB0000631,1.4008
HMDB0000637,1.5732
HMDB0000643,1.4366
HMDB0000651,3.2090
HMDB0000653,1.3418
HMDB0000656,2.9456
HMDB0000658,1.8156
HMDB0000674,2.5914
HMDB0000686,0.0209
HMDB0000693,1.6431
HMDB0000698,0.8526
HMDB0000708,0.0728
HMDB0000722,0.1251
HMDB0000733,0.0329
HMDB0000737,1.0620
HMDB0000739,1.9876
HMDB0000757,0.3688
HMDB0000760,0.3907
HMDB0000761,0.1974
HMDB0000774,0.2940
HMDB0000797,0.0913
HMDB0000801,0.7444
HMDB0000814,0.3317
HMDB0000825,2.0159
HMDB0000848,3.0534
HMDB0000851,1.0069
HMDB0000874,0.1328
HMDB0000876,0.6997
HMDB0000878,1.4717
HMDB0000879,0.6004
HMDB0000885,1.0968
HMDB0000896,1.4724
HMDB0000900,1.9382
HMDB0000902,2.5081
HMDB0000903,0.0077
HMDB0000907,0.1753
HMDB0000908,1.2542
