Ligand,RMSD
ECMDB00045,0.0625
ECMDB00048,0.8792
ECMDB00055,0.2987
ECMDB00058,0.0020
ECMDB00061,1.2226
ECMDB00082,1.1508
ECMDB00095,0.1392
ECMDB00121,1.2064
ECMDB00125,1.2976
ECMDB00163,0.3945
ECMDB00186,0.0752
ECMDB00189,1.7528
ECMDB00217,2.1400
ECMDB00218,0.4075
ECMDB00229,1.7482
ECMDB00241,0.8701
ECMDB00244,0.0797
ECMDB00258,0.8811
ECMDB00280,0.6182
ECMDB00285,0.5341
ECMDB00288,0.0207
ECMDB00290,2.9877
ECMDB00293,1.6825
ECMDB00295,1.2315
ECMDB00302,1.0087
ECMDB00538,1.7204
ECMDB00570,0.6291
ECMDB00674,3.3715
ECMDB00797,1.8519
ECMDB00830,0.0320
ECMDB00902,4.1906
ECMDB00905,0.0557
ECMDB00939,1.9610
ECMDB00960,1.4815
ECMDB00961,1.4779
ECMDB00972,3.6803
ECMDB00975,0.0512
ECMDB00988,0.6573
ECMDB00998,1.7860
ECMDB00999,1.6655
ECMDB01000,1.4252
ECMDB01003,1.6603
ECMDB01044,1.8903
ECMDB01056,2.6207
ECMDB01058,0.0626
ECMDB01060,1.9359
ECMDB01062,0.0960
ECMDB01066,1.1432
ECMDB01079,2.0470
ECMDB01094,2.0769
ECMDB01095,1.8639
ECMDB01097,0.4736
ECMDB01117,1.7216
ECMDB01121,1.3346
ECMDB01124,0.3714
ECMDB01134,0.8973
ECMDB01142,1.2720
ECMDB01144,3.1321
ECMDB01163,2.9569
ECMDB01174,1.6406
ECMDB01178,1.3646
ECMDB01179,0.8510
ECMDB01185,2.2808
ECMDB01191,2.7585
ECMDB01193,3.4576
ECMDB01197,3.6215
ECMDB01201,1.9254
ECMDB01202,0.4683
ECMDB01227,0.0576
ECMDB01245,0.1298
ECMDB01248,3.1510
ECMDB01261,1.4330
ECMDB01262,1.1384
ECMDB01271,1.1857
ECMDB01273,3.6180
ECMDB01274,0.9225
ECMDB01285,1.0881
ECMDB01296,0.3104
ECMDB01308,0.8092
ECMDB01317,1.9012
ECMDB01328,3.4069
ECMDB01332,0.8018
ECMDB01341,1.5318
ECMDB01342,1.0030
ECMDB01346,2.5325
ECMDB01354,1.3880
ECMDB01367,0.0485
ECMDB01372,2.4093
ECMDB01373,4.0532
ECMDB01384,4.0104
ECMDB01391,3.3889
ECMDB01396,2.1992
ECMDB01397,0.5071
ECMDB01399,0.7749
ECMDB01409,0.5933
ECMDB01412,1.9032
ECMDB01416,2.6751
ECMDB01423,2.8903
ECMDB01439,1.5462
ECMDB01440,0.9610
ECMDB01487,3.8628
ECMDB01517,0.3857
ECMDB01520,0.0897
ECMDB01532,1.2646
ECMDB01546,1.1850
ECMDB01550,1.5875
ECMDB01554,0.8944
ECMDB01562,1.1543
ECMDB01846,3.2139
ECMDB02158,0.9258
ECMDB02666,0.7545
ECMDB03266,1.9687
ECMDB03335,0.1496
ECMDB03419,1.7407
ECMDB03502,0.6562
ECMDB03514,1.2421
ECMDB03536,0.2090
ECMDB03540,0.0286
ECMDB03556,1.3672
ECMDB03826,1.6361
ECMDB03882,0.4258
ECMDB04007,2.0191
ECMDB04010,0.9857
ECMDB04033,1.4693
ECMDB04034,0.1678
ECMDB04052,0.6086
ECMDB04053,3.0756
ECMDB04063,1.9560
ECMDB04085,0.0394
ECMDB04108,0.4930
ECMDB04111,1.5549
ECMDB04117,2.3089
ECMDB04119,1.6274
ECMDB04120,2.9973
ECMDB04137,1.4671
ECMDB04138,2.1129
ECMDB04165,1.1943
ECMDB04166,3.0272
ECMDB04167,2.8041
ECMDB04168,1.7181
ECMDB04169,3.6064
ECMDB04171,1.0248
ECMDB04220,3.0530
ECMDB04662,1.3780
ECMDB06273,0.2902
ECMDB06354,2.3812
ECMDB06555,1.0066
ECMDB06557,3.2281
ECMDB06823,2.2439
ECMDB06834,0.4390
ECMDB06872,0.1074
ECMDB06876,1.2888
ECMDB07858,2.5172
ECMDB07859,4.0659
ECMDB07860,3.0303
ECMDB07861,2.5660
ECMDB07862,3.3098
ECMDB07863,2.5457
ECMDB07864,3.7435
ECMDB07865,2.6861
ECMDB08821,2.3645
ECMDB08824,3.1058
ECMDB08827,4.4495
ECMDB08920,2.8486
ECMDB08923,2.4245
ECMDB08924,6.1970
ECMDB08953,2.6451
ECMDB08956,3.2276
ECMDB08957,2.0142
ECMDB08959,2.1973
ECMDB09019,2.2378
ECMDB09022,3.0964
ECMDB09023,5.7287
ECMDB10573,9.2036
ECMDB10615,5.0017
ECMDB10616,4.0865
ECMDB10618,2.5636
ECMDB11145,2.1580
ECMDB11155,4.6850
ECMDB11156,2.3057
ECMDB11616,0.0208
ECMDB11629,0.7838
ECMDB11688,0.1260
ECMDB12277,2.9529
ECMDB12278,2.0675
ECMDB12330,2.9252
ECMDB12332,3.5738
ECMDB12333,2.3284
ECMDB12352,3.8666
ECMDB12363,4.1247
ECMDB12366,3.7043
ECMDB20003,3.1254
ECMDB20004,0.8449
ECMDB20006,1.3488
ECMDB20019,0.8504
ECMDB20024,0.6796
ECMDB20025,4.1278
ECMDB20026,2.2496
ECMDB20027,2.4411
ECMDB20033,1.2075
ECMDB20034,1.7120
ECMDB20035,2.3374
ECMDB20049,1.5516
ECMDB20050,0.8835
ECMDB20054,3.4132
ECMDB20055,2.1803
ECMDB20058,1.4994
ECMDB20059,3.7927
ECMDB20062,0.2046
ECMDB20068,2.1348
ECMDB20078,0.8547
ECMDB20079,0.4327
ECMDB20081,0.0831
ECMDB20083,0.8908
ECMDB20088,2.5418
ECMDB20096,1.5052
ECMDB20099,0.5888
ECMDB20106,0.2820
ECMDB20110,0.9267
ECMDB20112,2.7134
ECMDB20113,2.6590
ECMDB20117,0.0871
ECMDB20123,1.5686
ECMDB20133,3.3254
ECMDB20139,1.1523
ECMDB20145,1.2088
ECMDB20148,1.8832
ECMDB20154,1.5262
ECMDB20155,3.5475
ECMDB20156,1.0273
ECMDB20157,0.5718
ECMDB20158,0.9444
ECMDB20161,0.5741
ECMDB20170,1.7747
ECMDB20171,1.8796
ECMDB20174,0.2239
ECMDB20175,0.5900
ECMDB20177,0.4982
ECMDB20178,1.3642
ECMDB20186,1.9796
ECMDB20187,2.3243
ECMDB20188,2.3229
ECMDB20189,1.3596
ECMDB20191,0.1815
ECMDB20192,1.8935
ECMDB20196,1.4165
ECMDB20202,3.3137
ECMDB20226,0.7441
ECMDB20238,0.3570
ECMDB20246,1.8232
ECMDB20267,1.7925
ECMDB20281,1.8269
ECMDB20298,3.5604
ECMDB20324,1.0233
ECMDB20325,1.7098
ECMDB20347,0.0064
ECMDB20428,1.6180
ECMDB20429,1.3314
ECMDB20469,2.3679
ECMDB20470,3.3847
ECMDB20485,3.9667
ECMDB20518,0.1450
ECMDB20537,2.0082
ECMDB20547,0.9407
ECMDB20549,1.2912
ECMDB20557,2.5941
ECMDB20558,1.8974
ECMDB20562,2.7359
ECMDB20564,0.3929
ECMDB20573,1.3182
ECMDB20575,1.3430
ECMDB20579,4.9096
ECMDB20594,1.3732
ECMDB20601,0.0009
ECMDB20608,2.9725
ECMDB20612,1.6952
ECMDB20613,3.7602
ECMDB20620,2.2324
ECMDB20622,1.5130
ECMDB21000,1.7308
ECMDB21005,0.0197
ECMDB21014,1.2691
ECMDB21015,2.3654
ECMDB21016,3.6591
ECMDB21017,3.1253
ECMDB21018,3.4391
ECMDB21019,2.0390
ECMDB21020,4.7871
ECMDB21021,2.5384
ECMDB21024,3.4391
ECMDB21025,3.8098
ECMDB21026,3.3297
ECMDB21027,5.4482
ECMDB21028,2.8397
ECMDB21030,3.5945
ECMDB21033,2.5146
ECMDB21037,4.0400
ECMDB21041,2.4841
ECMDB21042,3.9905
ECMDB21044,4.3991
ECMDB21045,2.4344
ECMDB21049,4.5882
ECMDB21050,4.4019
ECMDB21054,2.6836
ECMDB21055,2.5941
