GDT_TS,2-Jan,3-Jan,3-Feb
45.2,0.101991645,0.101534188,0.101082051
61.11,0.100854074,0.101280679,0.1011342
63.55,0.101514856,0.10180418,0.10269771
69.12,0.102098006,0.101760088,0.101623052
72.11,0.101750751,0.101786802,0.102098006
80.34,0.102204367,0.102154021,0.102154021
82.3,0.102946593,0.103753963,0.104125401
83.9,0.104084033,0.10403645,0.103956751
84.12,0.103893955,0.103893955,0.103956751
85.9,0.103956751,0.103956751,0.10403645
86.28,0.10398217,0.10403645,0.10398217
87.37,0.103970733,0.103991662,0.104082636
87.5,0.103956751,0.103604411,0.10345482
87.63,0.103429915,0.103429915,0.103525547
89.49,0.103637453,0.103764497,0.103968787
90.39,0.103972679,0.104084033,0.104387587
90.48,0.104389852,0.104418015,0.104448626
90.7,0.104125401,0.104073411,0.103991662
90.72,0.104084033,0.104750794,0.104995511
91.1,0.104962991,0.104600934,0.104600934
92.18,0.104977823,0.105309104,0.105815854
92.66,0.105921983,0.10610032,0.10615997
93.28,0.105724552,0.105316583,0.104986667
93.84,0.104451074,0.104418015,0.104389852
96,0.104387587,0.10456303,0.104370354
96.45,0.103956751,0.10345482,0.102819939
96.81,0.102431306,0.102330594,0.101976448
97.57,0.101766505,0.101750751,0.101757168
98.08,0.101882716,0.102330594,0.102741324
