GDT_TS,Median,StDev
45.2,0.101534188,0.0004548
61.11,0.1011342,0.000216763
63.55,0.10180418,0.00061661
69.12,0.101760088,0.000244455
72.11,0.101786802,0.000190933
80.34,0.102154021,2.91E-05
82.3,0.103753963,0.000602688
83.9,0.10403645,6.43E-05
84.12,0.103893955,3.63E-05
85.9,0.103956751,4.60E-05
86.28,0.10398217,3.13E-05
87.37,0.103991662,5.95E-05
87.5,0.103604411,0.0002577
87.63,0.103429915,5.52E-05
89.49,0.103764497,0.000167161
90.39,0.104084033,0.000214745
90.48,0.104418015,2.94E-05
90.7,0.104073411,6.74E-05
90.72,0.104750794,0.000471743
91.1,0.104600934,0.000209034
92.18,0.105309104,0.000422066
92.66,0.10610032,0.000123828
93.28,0.105316583,0.00036963
93.84,0.104418015,3.06E-05
96,0.104387587,0.000106616
96.45,0.10345482,0.0005697
96.81,0.102330594,0.000238907
97.57,0.101757168,7.92E-06
98.08,0.102330594,0.000429438
