Ligand,RMSD
ECMDB00045,0.7719
ECMDB00048,0.8413
ECMDB00055,0.8546
ECMDB00058,0.0369
ECMDB00061,0.4215
ECMDB00082,1.1249
ECMDB00095,0.0163
ECMDB00121,1.1629
ECMDB00125,1.6184
ECMDB00163,0.1490
ECMDB00186,0.3147
ECMDB00189,0.9770
ECMDB00217,1.9625
ECMDB00218,1.3587
ECMDB00229,1.4010
ECMDB00241,0.9688
ECMDB00244,0.3481
ECMDB00258,0.0721
ECMDB00280,0.0882
ECMDB00285,1.1816
ECMDB00288,1.1280
ECMDB00290,3.2753
ECMDB00293,0.8082
ECMDB00295,2.1600
ECMDB00302,1.4362
ECMDB00538,1.6928
ECMDB00570,1.2241
ECMDB00674,3.7957
ECMDB00797,1.9103
ECMDB00830,0.0244
ECMDB00902,1.8355
ECMDB00905,0.2029
ECMDB00939,2.9630
ECMDB00960,1.1005
ECMDB00961,1.3066
ECMDB00972,2.6276
ECMDB00975,0.9080
ECMDB00988,1.9829
ECMDB00998,1.4508
ECMDB00999,0.7705
ECMDB01000,1.5537
ECMDB01003,1.0749
ECMDB01044,0.0612
ECMDB01056,1.5878
ECMDB01058,0.6767
ECMDB01060,2.8322
ECMDB01062,0.0344
ECMDB01066,1.8196
ECMDB01079,1.0819
ECMDB01094,4.8085
ECMDB01095,2.5544
ECMDB01097,1.0323
ECMDB01117,1.5621
ECMDB01121,0.0951
ECMDB01124,1.4046
ECMDB01134,0.0975
ECMDB01142,0.8444
ECMDB01144,2.6420
ECMDB01163,1.4198
ECMDB01174,2.0452
ECMDB01178,3.8042
ECMDB01179,3.9128
ECMDB01185,1.0571
ECMDB01191,1.4201
ECMDB01193,2.4057
ECMDB01197,3.3268
ECMDB01201,0.8353
ECMDB01202,1.3739
ECMDB01227,0.1118
ECMDB01245,1.1356
ECMDB01248,3.6326
ECMDB01261,1.4378
ECMDB01262,0.8576
ECMDB01271,0.8819
ECMDB01273,2.0921
ECMDB01274,2.0295
ECMDB01285,2.9436
ECMDB01296,0.9232
ECMDB01308,0.4320
ECMDB01317,0.0632
ECMDB01328,2.9384
ECMDB01332,1.1553
ECMDB01341,0.6678
ECMDB01342,1.0354
ECMDB01346,1.2723
ECMDB01354,1.2454
ECMDB01367,0.0651
ECMDB01372,1.9397
ECMDB01373,6.9548
ECMDB01384,4.3805
ECMDB01391,1.9696
ECMDB01396,1.2052
ECMDB01397,1.1561
ECMDB01399,0.8140
ECMDB01409,0.7924
ECMDB01412,0.7666
ECMDB01416,2.9276
ECMDB01423,3.0786
ECMDB01439,0.4153
ECMDB01440,1.2637
ECMDB01487,2.2320
ECMDB01517,1.5027
ECMDB01520,2.8293
ECMDB01532,1.4144
ECMDB01546,0.9305
ECMDB01550,1.7102
ECMDB01554,1.8523
ECMDB01562,3.2095
ECMDB01846,0.5423
ECMDB02158,1.3076
ECMDB02666,2.0729
ECMDB03266,4.0713
ECMDB03335,1.9396
ECMDB03419,3.9923
ECMDB03502,0.5925
ECMDB03514,0.0993
ECMDB03536,1.1015
ECMDB03540,0.5515
ECMDB03556,0.5237
ECMDB03826,0.8563
ECMDB03882,0.7414
ECMDB04007,1.3596
ECMDB04010,0.3542
ECMDB04033,1.3823
ECMDB04034,0.0172
ECMDB04052,2.0850
ECMDB04053,2.8887
ECMDB04063,2.8603
ECMDB04085,2.0326
ECMDB04108,0.4111
ECMDB04111,2.5258
ECMDB04117,2.8594
ECMDB04119,2.4884
ECMDB04120,2.5806
ECMDB04137,1.5146
ECMDB04138,2.5497
ECMDB04165,2.7329
ECMDB04166,3.2072
ECMDB04167,1.3551
ECMDB04168,1.4238
ECMDB04169,1.7292
ECMDB04171,1.2102
ECMDB04220,2.6150
ECMDB04662,1.1863
ECMDB06273,0.7079
ECMDB06354,1.8983
ECMDB06555,1.2126
ECMDB06557,2.7434
ECMDB06823,5.8977
ECMDB06834,2.2011
ECMDB06872,0.8589
ECMDB06876,1.8898
ECMDB07858,2.5103
ECMDB07859,2.5910
ECMDB07860,2.5988
ECMDB07861,3.6153
ECMDB07862,4.0941
ECMDB07863,5.0755
ECMDB07864,3.4965
ECMDB07865,5.5803
ECMDB08821,3.2875
ECMDB08824,3.1725
ECMDB08827,5.3273
ECMDB08920,2.2277
ECMDB08923,2.7077
ECMDB08924,3.4032
ECMDB08953,3.7618
ECMDB08956,3.4677
ECMDB08957,4.9561
ECMDB08959,6.4900
ECMDB09019,2.7283
ECMDB09022,2.3280
ECMDB09023,3.0933
ECMDB10573,3.2366
ECMDB10615,2.9165
ECMDB10616,2.0936
ECMDB10618,3.2396
ECMDB11145,3.2706
ECMDB11155,2.4584
ECMDB11156,1.9396
ECMDB11616,0.2430
ECMDB11629,0.3415
ECMDB11688,0.1720
ECMDB12277,1.5592
ECMDB12278,2.6614
ECMDB12330,3.3004
ECMDB12332,3.8390
ECMDB12333,2.3820
ECMDB12352,2.9496
ECMDB12363,2.4770
ECMDB12366,2.2673
