GDT_TS,Median,StDev
45.20,0.3830584707646177,0.0015604692649671301
61.11,0.4625187406296852,0.015381022885069857
63.55,0.22338830584707647,0.008645099396304947
69.12,0.3695652173913043,0.023478950169963757
72.11,0.4662668665667166,0.003120938529934229
80.34,0.3058470764617691,0.01415051987483037
82.30,0.32008995502248877,0.004580285552179731
83.90,0.5337331334332833,0.026717942904812417
84.12,0.44377811094452774,0.014765903750818734
85.90,0.39430284857571213,0.006718805427160787
86.28,0.3275862068965517,0.008245877061469259
87.37,0.4032983508245877,0.0028380351553224767
87.50,0.5007496251874063,0.01813617922201306
87.63,0.3808095952023988,0.021583478334164845
89.49,0.3553223388305847,0.003846777690739805
90.39,0.348575712143928,0.014170361697908864
90.48,0.444527736131934,0.033364637307747955
90.70,0.4962518740629685,0.012904299184083291
90.72,0.2608695652173913,0.005405624101145406
91.10,0.47226386806596704,0.012809600817567515
92.18,0.34707646176911544,0.009745127436281864
92.66,0.44752623688155924,0.004559792001722785
93.28,0.36656671664167917,0.011475224890759675
93.84,0.4662668665667166,0.007382951875409378
96.00,0.4662668665667166,0.013520988764086632
96.45,0.5344827586206896,0.0095509819358403
96.81,0.4032983508245877,0.01104266856271083
97.57,0.487256371814093,0.016514454414650995
98.08,0.4625187406296852,0.032442406309418886
