GDT_TS,Median,StDev
45.20,0.05172413793103448,0.0018865153511421133
61.11,0.015742128935532233,0.0014992503748125939
63.55,0.03223388305847077,0.0037481259370314834
69.12,0.10569715142428786,0.009783494228111889
72.11,0.10794602698650675,0.002163981518701746
80.34,0.12893553223388307,0.005725356940224691
82.30,0.05322338830584707,0.0045597920017228025
83.90,0.1671664167916042,0.01430193705272782
84.12,0.09220389805097451,0.00426254925268165
85.90,0.2608695652173913,0.00943257675571059
86.28,0.24212893553223389,0.008257227207325489
87.37,0.24962518740629686,0.01221068637968079
87.50,0.3575712143928036,0.009372813260125476
87.63,0.08395802098950525,0.01261064755716696
89.49,0.12218890554722639,0.007656948248897838
90.39,0.21064467766116943,0.00712472635151586
90.48,0.18065967016491755,0.0046814077949013395
90.70,0.32083958020989506,0.019960310278402296
90.72,0.09070464767616192,0.009068089611006521
91.10,0.17991004497751126,0.004173736403920565
92.18,0.0734632683658171,0.004518526066972802
92.66,0.15517241379310345,0.006059148252364892
93.28,0.1176911544227886,0.008514105465967418
93.84,0.1634182908545727,0.005822678759485773
96.00,0.1671664167916042,0.02510218561694025
96.45,0.5067466266866567,0.011954896265772778
96.81,0.2376311844077961,0.0031209385299342403
97.57,0.25862068965517243,0.014593644927984834
98.08,0.40554722638680657,0.019126463001758718
