Ligand,RMSD
ECMDB00045,0.0906
ECMDB00048,0.8192
ECMDB00055,0.0675
ECMDB00058,0.0297
ECMDB00061,0.0655
ECMDB00082,0.7293
ECMDB00095,0.1446
ECMDB00121,1.6492
ECMDB00125,1.6219
ECMDB00163,0.0191
ECMDB00186,0.0204
ECMDB00189,1.1614
ECMDB00217,2.5868
ECMDB00218,0.1965
ECMDB00229,0.8796
ECMDB00241,0.3120
ECMDB00244,1.4880
ECMDB00258,0.3116
ECMDB00280,0.7810
ECMDB00285,3.2704
ECMDB00288,0.0210
ECMDB00290,3.3179
ECMDB00293,3.6011
ECMDB00295,2.2691
ECMDB00302,0.5047
ECMDB00538,2.4268
ECMDB00570,0.7933
ECMDB00674,2.6686
ECMDB00797,0.6938
ECMDB00830,0.9082
ECMDB00902,5.0330
ECMDB00905,2.4394
ECMDB00939,0.8714
ECMDB00960,0.2031
ECMDB00961,3.2111
ECMDB00972,2.7806
ECMDB00975,0.1069
ECMDB00988,0.8922
ECMDB00998,1.0016
ECMDB00999,1.5905
ECMDB01000,1.8892
ECMDB01003,2.0802
ECMDB01044,0.2571
ECMDB01056,1.4727
ECMDB01058,0.0389
ECMDB01060,2.9893
ECMDB01062,1.0223
ECMDB01066,1.7009
ECMDB01079,2.1295
ECMDB01094,3.8383
ECMDB01095,1.2261
ECMDB01097,0.4764
ECMDB01117,1.2345
ECMDB01121,0.4986
ECMDB01124,1.7698
ECMDB01134,0.7254
ECMDB01142,1.4891
ECMDB01144,2.6285
ECMDB01163,1.6062
ECMDB01174,2.4330
ECMDB01178,4.2186
ECMDB01179,1.8835
ECMDB01185,0.1538
ECMDB01191,0.6888
ECMDB01193,1.2277
ECMDB01197,1.7492
ECMDB01201,0.8691
ECMDB01202,1.3787
ECMDB01227,0.0614
ECMDB01245,0.7081
ECMDB01248,1.7069
ECMDB01261,1.1680
ECMDB01262,0.1456
ECMDB01271,0.5245
ECMDB01273,1.6574
ECMDB01274,1.2649
ECMDB01285,1.4322
ECMDB01296,0.0354
ECMDB01308,0.4400
ECMDB01317,1.4260
ECMDB01328,3.5423
ECMDB01332,0.3237
ECMDB01341,1.6258
ECMDB01342,3.3529
ECMDB01346,0.0693
ECMDB01354,0.3624
ECMDB01367,0.1132
ECMDB01372,1.4315
ECMDB01373,2.0016
ECMDB01384,1.4338
ECMDB01391,0.0976
ECMDB01396,1.8431
ECMDB01397,0.0202
ECMDB01399,2.7922
ECMDB01409,0.0384
ECMDB01412,0.6863
ECMDB01416,1.4225
ECMDB01423,3.9222
ECMDB01439,0.1785
ECMDB01440,1.0085
ECMDB01487,3.4694
ECMDB01517,0.1442
ECMDB01520,2.0518
ECMDB01532,2.0929
ECMDB01546,1.1057
ECMDB01550,1.3922
ECMDB01554,0.0261
ECMDB01562,1.3666
ECMDB01846,1.2431
ECMDB02158,1.0912
ECMDB02666,0.4280
ECMDB03266,2.3375
ECMDB03335,0.1241
ECMDB03419,2.8941
ECMDB03502,0.2091
ECMDB03514,0.0290
ECMDB03536,0.9747
ECMDB03540,0.4311
ECMDB03556,1.1369
ECMDB03826,0.4663
ECMDB03882,0.0154
ECMDB04007,1.2255
ECMDB04010,1.6452
ECMDB04033,0.1457
ECMDB04034,1.1739
ECMDB04052,0.0511
ECMDB04053,2.0277
ECMDB04063,1.9153
ECMDB04085,0.7166
ECMDB04108,0.2254
ECMDB04111,3.4599
ECMDB04117,3.0351
ECMDB04119,3.0127
ECMDB04120,2.6396
ECMDB04137,0.0897
ECMDB04138,1.3156
ECMDB04165,1.4298
ECMDB04166,1.1889
ECMDB04167,1.4289
ECMDB04168,3.6166
ECMDB04169,2.3253
ECMDB04171,4.3968
ECMDB04220,1.0422
ECMDB04662,1.8290
ECMDB06273,0.0634
ECMDB06354,1.0046
ECMDB06555,0.0368
ECMDB06557,3.0197
ECMDB06823,3.5675
ECMDB06834,1.6896
ECMDB06872,0.1212
ECMDB06876,1.1793
ECMDB07858,3.4219
ECMDB07859,4.0141
ECMDB07860,2.5392
ECMDB07861,3.0959
ECMDB07862,2.5952
ECMDB07863,4.3111
ECMDB07864,4.6997
ECMDB07865,2.6003
ECMDB08821,2.5357
ECMDB08824,3.8903
ECMDB08827,2.7463
ECMDB08920,3.7917
ECMDB08923,3.3702
ECMDB08924,1.9254
ECMDB08953,4.2548
ECMDB08956,3.3219
ECMDB08957,4.1184
