Ligand,RMSD
ECMDB00045,0.1451
ECMDB00048,0.2409
ECMDB00055,0.0584
ECMDB00058,1.2619
ECMDB00061,0.0553
ECMDB00082,2.8009
ECMDB00095,0.1233
ECMDB00121,3.0485
ECMDB00125,0.4654
ECMDB00163,0.0439
ECMDB00186,0.4174
ECMDB00189,1.9823
ECMDB00217,3.1930
ECMDB00218,1.2372
ECMDB00229,1.5353
ECMDB00241,0.4553
ECMDB00244,1.9842
ECMDB00258,1.2803
ECMDB00280,1.1066
ECMDB00285,2.2046
ECMDB00288,0.5513
ECMDB00290,2.8216
ECMDB00293,1.1909
ECMDB00295,0.0995
ECMDB00302,2.7876
ECMDB00538,1.5122
ECMDB00570,1.2532
ECMDB00674,2.0233
ECMDB00797,0.0987
ECMDB00830,0.9538
ECMDB00902,3.7880
ECMDB00905,0.0866
ECMDB00939,2.1614
ECMDB00960,2.1576
ECMDB00961,1.7396
ECMDB00972,2.0386
ECMDB00975,0.1526
ECMDB00988,0.7338
ECMDB00998,2.7689
ECMDB00999,1.4464
ECMDB01000,0.0568
ECMDB01003,0.5695
ECMDB01044,0.1869
ECMDB01056,5.2045
ECMDB01058,0.0815
ECMDB01060,3.5867
ECMDB01062,0.0369
ECMDB01066,2.4573
ECMDB01079,1.7038
ECMDB01094,2.6910
ECMDB01095,1.3108
ECMDB01097,0.2049
ECMDB01117,1.5904
ECMDB01121,0.6270
ECMDB01124,0.0737
ECMDB01134,1.9195
ECMDB01142,1.9637
ECMDB01144,1.2183
ECMDB01163,2.8235
ECMDB01174,2.3713
ECMDB01178,2.2642
ECMDB01179,2.5013
ECMDB01185,1.4639
ECMDB01191,1.7338
ECMDB01193,2.0539
ECMDB01197,4.6570
ECMDB01201,1.5255
ECMDB01202,0.1275
ECMDB01227,0.3554
ECMDB01245,0.0414
ECMDB01248,6.3610
ECMDB01261,1.3135
ECMDB01262,1.2704
ECMDB01271,0.0956
ECMDB01273,2.9205
ECMDB01274,0.4980
ECMDB01285,1.6646
ECMDB01296,1.6442
ECMDB01308,1.1036
ECMDB01317,0.0934
ECMDB01328,2.9427
ECMDB01332,1.6248
ECMDB01341,1.4485
ECMDB01342,3.1709
ECMDB01346,1.6937
ECMDB01354,0.2113
ECMDB01367,0.3432
ECMDB01372,1.0264
ECMDB01373,2.6706
ECMDB01384,3.1395
ECMDB01391,1.7944
ECMDB01396,3.2949
ECMDB01397,0.0419
ECMDB01399,2.2140
ECMDB01409,0.0290
ECMDB01412,0.1496
ECMDB01416,1.8467
ECMDB01423,4.5347
ECMDB01439,0.5508
ECMDB01440,2.5362
ECMDB01487,2.1539
ECMDB01517,0.1075
ECMDB01520,1.8274
ECMDB01532,1.1280
ECMDB01546,1.5878
ECMDB01550,1.6398
ECMDB01554,0.4012
ECMDB01562,0.8696
ECMDB01846,1.5637
ECMDB02158,0.8783
ECMDB02666,1.1313
ECMDB03266,2.2265
ECMDB03335,2.0660
ECMDB03419,2.6040
ECMDB03502,0.9761
ECMDB03514,1.5394
ECMDB03536,0.5854
ECMDB03540,0.8616
ECMDB03556,0.4493
ECMDB03826,0.1148
ECMDB03882,1.1408
ECMDB04007,0.8885
ECMDB04010,0.0294
ECMDB04033,1.2993
ECMDB04034,1.6009
ECMDB04052,0.5847
ECMDB04053,2.3016
ECMDB04063,1.2382
ECMDB04085,0.4366
ECMDB04108,0.0797
ECMDB04111,2.6028
ECMDB04117,1.8562
ECMDB04119,4.4540
ECMDB04120,2.7456
ECMDB04137,2.1796
ECMDB04138,2.1366
ECMDB04165,2.6122
ECMDB04166,0.1914
ECMDB04167,1.2294
ECMDB04168,2.0358
ECMDB04169,1.3447
ECMDB04171,2.2865
ECMDB04220,4.7088
ECMDB04662,1.3087
ECMDB06273,0.0742
ECMDB06354,1.5590
ECMDB06555,0.0550
ECMDB06557,2.6043
ECMDB06823,2.1098
ECMDB06834,0.9911
ECMDB06872,1.5089
ECMDB06876,3.5055
ECMDB07858,3.6134
ECMDB07859,3.8360
ECMDB07860,4.6395
ECMDB07861,6.4277
ECMDB07862,3.7643
ECMDB07863,3.5112
ECMDB07864,3.1262
ECMDB07865,7.3034
ECMDB08821,1.8568
ECMDB08824,2.1259
ECMDB08827,2.4562
ECMDB08920,3.6625
ECMDB08923,2.3604
ECMDB08924,3.1673
ECMDB08953,2.7877
ECMDB08956,2.1015
ECMDB08957,4.1823
ECMDB08959,2.4414
ECMDB09019,4.7358
ECMDB09022,6.2039
ECMDB09023,2.2848
ECMDB10573,3.5197
ECMDB10615,2.8792
ECMDB10616,5.4834
ECMDB10618,2.8674
ECMDB11145,2.8427
ECMDB11155,2.9594
ECMDB11156,1.7832
ECMDB11616,0.0058
ECMDB11629,1.5927
ECMDB11688,0.7652
ECMDB12277,2.0315
ECMDB12278,2.5678
ECMDB12330,2.2528
ECMDB12332,4.2590
ECMDB12333,4.7223
ECMDB12352,5.3387
ECMDB12363,3.6125
ECMDB12366,2.8459
ECMDB20003,3.9198
ECMDB20004,2.3369
ECMDB20006,1.6233
ECMDB20019,3.0021
ECMDB20024,2.7113
ECMDB20025,2.7340
ECMDB20026,2.2577
ECMDB20027,2.9015
ECMDB20033,1.1639
ECMDB20034,2.2204
ECMDB20035,3.4067
ECMDB20049,5.5317
ECMDB20050,0.5311
ECMDB20054,4.2833
ECMDB20055,2.8014
ECMDB20058,1.2173
ECMDB20059,2.1275
ECMDB20062,0.0256
ECMDB20068,0.3481
ECMDB20078,0.5014
ECMDB20079,0.1210
ECMDB20081,0.1339
ECMDB20083,2.7678
ECMDB20088,1.8054
ECMDB20096,3.9002
ECMDB20099,0.0182
ECMDB20106,0.9483
ECMDB20110,0.2282
ECMDB20112,3.2382
ECMDB20113,2.0149
ECMDB20117,1.6287
ECMDB20123,0.2854
ECMDB20133,2.1520
ECMDB20139,1.0711
ECMDB20145,2.0736
ECMDB20148,0.6110
ECMDB20154,2.0758
ECMDB20155,3.6430
ECMDB20156,1.1357
ECMDB20157,0.4603
ECMDB20158,2.1086
ECMDB20161,0.4039
ECMDB20170,2.5040
ECMDB20171,0.3014
ECMDB20174,1.1035
ECMDB20175,1.4406
ECMDB20177,1.2018
ECMDB20178,0.3950
ECMDB20186,0.9014
ECMDB20187,1.5354
ECMDB20188,2.0574
ECMDB20189,2.2937
ECMDB20191,0.0203
ECMDB20192,1.4160
ECMDB20196,1.6406
ECMDB20202,2.3826
ECMDB20226,2.1245
ECMDB20238,0.0226
ECMDB20246,1.4236
ECMDB20267,1.4834
ECMDB20281,6.9212
ECMDB20298,1.8336
ECMDB20324,1.4172
ECMDB20325,0.4109
ECMDB20347,0.6403
ECMDB20428,1.0638
ECMDB20429,3.2808
ECMDB20469,2.0520
ECMDB20470,3.2893
ECMDB20485,3.8089
ECMDB20518,0.1178
ECMDB20537,0.6798
ECMDB20547,0.4478
ECMDB20549,0.1712
ECMDB20557,0.4707
ECMDB20558,2.3800
ECMDB20562,1.1925
ECMDB20564,0.4223
ECMDB20573,1.7947
ECMDB20575,1.0882
ECMDB20579,2.8133
ECMDB20594,0.4883
ECMDB20601,0.0007
ECMDB20608,1.9307
ECMDB20612,2.7297
ECMDB20613,0.1384
ECMDB20620,7.3862
ECMDB20622,0.0620
ECMDB21000,2.6363
ECMDB21005,0.0547
ECMDB21014,2.6917
ECMDB21015,8.1621
ECMDB21016,5.0401
ECMDB21017,2.6755
ECMDB21018,3.8464
ECMDB21019,3.3060
ECMDB21020,5.3270
ECMDB21021,3.4943
ECMDB21024,3.2933
ECMDB21025,2.3093
ECMDB21026,3.7495
ECMDB21027,2.5583
ECMDB21028,3.3722
ECMDB21030,5.2744
ECMDB21033,5.4148
ECMDB21037,3.5622
ECMDB21041,3.7367
ECMDB21042,3.3100
ECMDB21044,5.9039
ECMDB21045,6.4949
ECMDB21049,4.2272
ECMDB21050,8.1017
ECMDB21054,3.0680
ECMDB21055,3.4132
ECMDB21060,4.1268
ECMDB21062,2.7685
ECMDB21063,4.0787
ECMDB21064,3.8005
ECMDB21065,2.5224
ECMDB21066,2.0481
ECMDB21067,2.6098
ECMDB21068,7.0166
ECMDB21070,3.4268
ECMDB21073,4.3083
ECMDB21075,5.1430
ECMDB21082,3.1848
ECMDB21084,8.0292
ECMDB21086,2.9277
ECMDB21103,2.2728
ECMDB21104,3.0175
ECMDB21105,3.0384
ECMDB21106,2.4617
ECMDB21108,4.6703
ECMDB21109,1.9877
HMDB0000010,0.0040
HMDB0000015,0.3679
HMDB0000016,0.0373
HMDB0000021,0.0989
HMDB0000032,0.0651
HMDB0000036,0.4472
HMDB0000037,0.0309
HMDB0000045,0.2958
HMDB0000054,2.7287
HMDB0000058,1.3313
HMDB0000061,1.6221
HMDB0000063,0.2183
HMDB0000067,0.4046
HMDB0000082,1.5049
HMDB0000095,0.7484
HMDB0000125,1.8466
HMDB0000138,2.1215
HMDB0000163,0.8970
HMDB0000175,1.0798
HMDB0000186,0.0329
HMDB0000217,6.6643
HMDB0000218,0.8748
HMDB0000221,2.8717
HMDB0000222,2.1868
HMDB0000229,0.5079
HMDB0000230,0.6411
HMDB0000241,1.0010
HMDB0000248,0.7626
HMDB0000253,0.0219
HMDB0000256,2.6931
HMDB0000265,0.1960
HMDB0000268,0.1007
HMDB0000269,1.2085
HMDB0000277,3.0614
HMDB0000280,0.9174
HMDB0000285,1.6447
HMDB0000286,2.9166
HMDB0000288,0.1283
HMDB0000290,1.0880
HMDB0000295,2.0749
HMDB0000302,2.9753
HMDB0000308,0.3641
HMDB0000315,0.0765
HMDB0000319,0.3341
HMDB0000326,0.6856
HMDB0000332,0.5704
HMDB0000352,0.0008
HMDB0000359,1.7605
HMDB0000363,0.0121
HMDB0000374,0.1257
HMDB0000380,0.0933
HMDB0000405,0.3013
HMDB0000416,0.4919
HMDB0000418,0.0483
HMDB0000430,2.4596
HMDB0000449,0.3215
HMDB0000489,1.8641
HMDB0000494,0.4025
HMDB0000496,0.1210
HMDB0000501,0.0252
HMDB0000518,0.7368
HMDB0000526,0.0312
HMDB0000534,0.3549
HMDB0000538,1.7662
HMDB0000550,0.0007
HMDB0000561,1.4209
HMDB0000569,1.7165
HMDB0000570,0.6260
HMDB0000572,2.1556
HMDB0000582,0.2490
HMDB0000585,1.1197
HMDB0000600,0.5006
HMDB0000601,1.7564
HMDB0000610,2.7187
HMDB0000619,0.0698
HMDB0000626,0.8137
HMDB0000631,1.2221
HMDB0000637,0.3330
HMDB0000643,0.3694
HMDB0000651,2.5693
HMDB0000653,1.0283
HMDB0000656,2.8437
HMDB0000658,2.3756
HMDB0000674,2.7968
HMDB0000686,1.2558
HMDB0000693,1.9743
HMDB0000698,0.5244
HMDB0000708,2.4917
HMDB0000722,2.4116
HMDB0000733,0.3041
HMDB0000737,0.8313
HMDB0000739,1.3909
HMDB0000757,0.2547
HMDB0000760,1.4296
HMDB0000761,0.2362
HMDB0000774,0.0021
HMDB0000797,2.1366
HMDB0000801,2.0632
HMDB0000814,0.1397
HMDB0000825,1.8058
HMDB0000848,1.7857
HMDB0000851,1.8112
HMDB0000874,2.5207
HMDB0000876,0.4619
HMDB0000878,1.8163
HMDB0000879,0.4441
HMDB0000885,2.6005
HMDB0000896,1.5306
HMDB0000900,2.4742
HMDB0000902,1.8704
HMDB0000903,0.0477
HMDB0000907,0.3390
HMDB0000908,1.4012
HMDB0000912,1.5103
HMDB0000917,1.2096
HMDB0000918,2.5445
HMDB0000921,1.1318
HMDB0000939,0.0570
HMDB0000944,1.8922
HMDB0000946,1.3336
HMDB0000949,0.2931
HMDB0000950,6.9387
HMDB0000951,1.0564
HMDB0000961,3.4211
HMDB0000975,0.1330
HMDB0000998,0.2260
HMDB0001000,0.1901
HMDB0001032,0.4370
HMDB0001043,1.7406
HMDB0001045,0.4516
HMDB0001056,2.3446
HMDB0001058,1.7033
HMDB0001060,4.3087
HMDB0001062,0.0071
HMDB0001067,1.0863
HMDB0001081,1.4261
HMDB0001085,1.9633
HMDB0001091,0.0283
HMDB0001139,2.3314
HMDB0001155,3.7702
HMDB0001160,2.5456
HMDB0001170,0.8887
HMDB0001185,0.5814
HMDB0001191,2.6033
HMDB0001198,3.8686
HMDB0001201,0.5620
HMDB0001220,0.8456
HMDB0001244,2.1417
HMDB0001248,4.0365
HMDB0001251,1.4930
HMDB0001262,2.0991
HMDB0001273,1.3756
HMDB0001296,2.2442
HMDB0001314,0.0267
HMDB0001341,0.0419
HMDB0001367,0.1288
HMDB0001372,1.6810
HMDB0001383,2.3397
HMDB0001396,0.0902
HMDB0001397,0.1362
HMDB0001403,2.1019
HMDB0001419,1.4234
HMDB0001420,1.8405
HMDB0001425,0.0218
HMDB0001438,0.1978
HMDB0001442,2.4480
HMDB0001449,0.0949
HMDB0001452,2.2633
HMDB0001455,0.0036
HMDB0001471,0.3712
HMDB0001487,7.3989
HMDB0001496,0.2116
HMDB0001509,2.2199
HMDB0001517,0.1475
HMDB0001520,2.4091
HMDB0001532,2.0574
HMDB0001533,1.5559
HMDB0001546,0.3394
HMDB0001547,0.2647
HMDB0001562,1.4344
HMDB0001830,0.0156
HMDB0001846,0.1989
HMDB0001852,2.4116
HMDB0001903,0.0492
HMDB0001976,2.3231
HMDB0001993,0.2151
HMDB0001999,3.1880
HMDB0002014,3.7625
HMDB0002027,0.0341
HMDB0002088,1.5244
HMDB0002094,1.1616
HMDB0002098,2.1701
HMDB0002103,1.0415
HMDB0002158,0.6341
HMDB0002163,1.4256
HMDB0002177,2.4250
HMDB0002181,3.7024
HMDB0002183,3.2589
HMDB0002190,2.4024
HMDB0002195,1.6472
HMDB0002200,2.0607
HMDB0002226,2.1995
HMDB0002231,5.6171
HMDB0002232,2.9611
HMDB0002250,1.4460
HMDB0002265,1.5144
HMDB0002277,1.9651
HMDB0002283,1.4398
HMDB0002311,1.6568
HMDB0002314,2.6305
HMDB0002343,2.4222
HMDB0002356,3.2015
HMDB0002364,0.0638
HMDB0002368,4.4748
HMDB0002369,2.4422
HMDB0002374,0.8575
HMDB0002409,2.1177
HMDB0002504,1.1029
HMDB0002580,1.3423
HMDB0002586,1.6142
HMDB0002639,0.2340
HMDB0002642,1.1611
HMDB0002656,2.5840
HMDB0002664,1.0952
HMDB0002666,1.7495
HMDB0002685,0.7050
HMDB0002689,2.4804
HMDB0002710,0.7387
HMDB0002719,0.0802
HMDB0002752,1.8359
HMDB0002759,0.2710
HMDB0002776,0.8520
HMDB0002802,0.4938
HMDB0002815,5.1952
HMDB0002823,2.2304
HMDB0002829,0.6654
HMDB0002833,0.0141
HMDB0002884,2.1979
HMDB0002886,2.0853
HMDB0002902,2.8488
HMDB0002904,1.8894
HMDB0002923,0.1225
HMDB0002925,2.8309
HMDB0002972,1.6797
HMDB0002984,0.0008
HMDB0003034,2.7479
HMDB0003069,0.1702
HMDB0003080,1.9656
HMDB0003128,0.0472
HMDB0003141,1.6521
HMDB0003175,0.4964
HMDB0003180,0.0318
HMDB0003193,0.0091
HMDB0003252,1.0962
HMDB0003337,2.4682
HMDB0003474,0.0547
HMDB0003502,0.5328
HMDB0003514,0.8228
HMDB0003540,0.0181
HMDB0003550,1.7900
HMDB0003572,0.3885
HMDB0003598,0.4146
HMDB0003648,5.8025
HMDB0003733,2.3408
HMDB0003759,0.1169
HMDB0003871,1.5974
HMDB0003876,1.2251
HMDB0003933,1.2617
HMDB0003955,0.0020
HMDB0003993,0.8324
HMDB0004025,0.2531
HMDB0004026,0.6046
