Ligand,RMSD
ECMDB00045,0.0106
ECMDB00048,0.2418
ECMDB00055,0.1690
ECMDB00058,0.6165
ECMDB00061,0.1443
ECMDB00082,1.1275
ECMDB00095,0.0109
ECMDB00121,1.4259
ECMDB00125,2.0919
ECMDB00163,0.2232
ECMDB00186,0.0109
ECMDB00189,2.1747
ECMDB00217,2.5977
ECMDB00218,1.4835
ECMDB00229,1.7384
ECMDB00241,0.8859
ECMDB00244,0.4236
ECMDB00258,0.0348
ECMDB00280,0.8826
ECMDB00285,2.1829
ECMDB00288,0.1268
ECMDB00290,3.5107
ECMDB00293,1.6081
ECMDB00295,0.0910
ECMDB00302,1.6072
ECMDB00538,1.3622
ECMDB00570,0.8451
ECMDB00674,4.2584
ECMDB00797,0.3032
ECMDB00830,0.6514
ECMDB00902,1.0950
ECMDB00905,0.7706
ECMDB00939,1.3974
ECMDB00960,0.5151
ECMDB00961,2.0104
ECMDB00972,0.3159
ECMDB00975,0.9538
ECMDB00988,0.3900
ECMDB00998,2.3308
ECMDB00999,0.5617
ECMDB01000,1.0513
ECMDB01003,1.1095
ECMDB01044,0.1023
ECMDB01056,3.4962
ECMDB01058,0.2202
ECMDB01060,3.8935
ECMDB01062,0.0550
ECMDB01066,1.8036
ECMDB01079,2.7278
ECMDB01094,2.7789
ECMDB01095,4.1811
ECMDB01097,0.7543
ECMDB01117,1.2699
ECMDB01121,0.1451
ECMDB01124,0.5220
ECMDB01134,1.2696
ECMDB01142,2.7084
ECMDB01144,2.8932
ECMDB01163,3.1098
ECMDB01174,1.6254
ECMDB01178,1.7250
ECMDB01179,3.7861
ECMDB01185,2.1764
ECMDB01191,0.6590
ECMDB01193,1.8822
ECMDB01197,1.5463
ECMDB01201,2.2993
ECMDB01202,0.0242
ECMDB01227,0.0137
ECMDB01245,1.0627
ECMDB01248,2.8573
ECMDB01261,1.1363
ECMDB01262,0.5969
ECMDB01271,0.0229
ECMDB01273,1.7509
ECMDB01274,0.6722
ECMDB01285,1.5652
ECMDB01296,1.2527
ECMDB01308,0.2612
ECMDB01317,1.3470
ECMDB01328,0.9678
ECMDB01332,1.0976
ECMDB01341,0.0396
ECMDB01342,0.1010
ECMDB01346,1.4527
ECMDB01354,0.1851
ECMDB01367,0.3195
ECMDB01372,1.6033
ECMDB01373,2.2988
ECMDB01384,3.1557
ECMDB01391,1.5060
ECMDB01396,1.0682
ECMDB01397,0.1224
ECMDB01399,0.7108
ECMDB01409,1.0184
ECMDB01412,0.9517
ECMDB01416,1.8721
ECMDB01423,2.1631
ECMDB01439,0.0913
ECMDB01440,2.7062
ECMDB01487,2.0961
ECMDB01517,0.0612
ECMDB01520,0.6463
ECMDB01532,1.6422
ECMDB01546,0.7403
ECMDB01550,1.2850
ECMDB01554,0.0320
ECMDB01562,1.6639
ECMDB01846,1.9883
ECMDB02158,1.3249
ECMDB02666,0.4381
ECMDB03266,3.1048
ECMDB03335,0.7469
ECMDB03419,2.3100
ECMDB03502,0.3091
ECMDB03514,0.1778
ECMDB03536,2.0450
ECMDB03540,0.1966
ECMDB03556,0.0342
ECMDB03826,0.7498
ECMDB03882,0.1005
ECMDB04007,0.0529
ECMDB04010,0.3686
ECMDB04033,2.1537
ECMDB04034,0.0175
ECMDB04052,1.0295
ECMDB04053,0.8155
ECMDB04063,1.0121
ECMDB04085,2.4328
ECMDB04108,0.1805
ECMDB04111,2.6362
ECMDB04117,4.4215
ECMDB04119,2.3604
ECMDB04120,3.1042
ECMDB04137,0.2026
ECMDB04138,2.2086
ECMDB04165,0.9504
ECMDB04166,1.3737
ECMDB04167,1.9723
ECMDB04168,4.3939
ECMDB04169,0.6357
ECMDB04171,3.3670
ECMDB04220,3.6113
ECMDB04662,1.9739
ECMDB06273,0.4178
ECMDB06354,1.0908
ECMDB06555,0.0590
ECMDB06557,1.5243
ECMDB06823,1.2852
ECMDB06834,3.0802
ECMDB06872,0.1124
ECMDB06876,2.9634
ECMDB07858,3.1316
ECMDB07859,3.2055
ECMDB07860,4.4998
ECMDB07861,2.9032
ECMDB07862,3.0308
ECMDB07863,3.1929
ECMDB07864,4.7547
ECMDB07865,2.9635
ECMDB08821,2.8767
ECMDB08824,2.9881
ECMDB08827,2.7988
ECMDB08920,3.5580
ECMDB08923,1.9858
ECMDB08924,1.9731
ECMDB08953,3.0992
ECMDB08956,2.2089
ECMDB08957,2.5992
ECMDB08959,3.7927
ECMDB09019,2.8245
ECMDB09022,4.0623
ECMDB09023,4.3652
ECMDB10573,3.7944
ECMDB10615,3.2558
ECMDB10616,3.4528
ECMDB10618,3.5960
ECMDB11145,2.6716
ECMDB11155,3.8169
ECMDB11156,2.6119
ECMDB11616,0.0275
ECMDB11629,0.0311
ECMDB11688,0.6511
ECMDB12277,1.5721
ECMDB12278,1.5181
ECMDB12330,2.7059
ECMDB12332,3.0292
ECMDB12333,2.4221
ECMDB12352,1.6669
ECMDB12363,2.1525
ECMDB12366,3.1227
ECMDB20003,1.7480
ECMDB20004,2.0957
ECMDB20006,2.2206
ECMDB20019,1.5972
ECMDB20024,0.8692
ECMDB20025,4.5100
ECMDB20026,3.7742
ECMDB20027,2.6253
ECMDB20033,0.5527
ECMDB20034,1.5471
ECMDB20035,2.3764
ECMDB20049,1.6871
ECMDB20050,1.1531
ECMDB20054,2.2754
ECMDB20055,1.4022
ECMDB20058,0.0193
ECMDB20059,1.8797
ECMDB20062,0.0594
ECMDB20068,1.5245
ECMDB20078,1.9544
ECMDB20079,0.0330
ECMDB20081,0.0394
ECMDB20083,1.7726
ECMDB20088,2.3750
ECMDB20096,0.8684
ECMDB20099,0.0843
ECMDB20106,0.0267
ECMDB20110,1.3698
ECMDB20112,3.2733
ECMDB20113,1.8180
ECMDB20117,0.0488
ECMDB20123,1.4241
ECMDB20133,1.4982
ECMDB20139,0.5826
ECMDB20145,1.3399
ECMDB20148,2.7226
ECMDB20154,1.1170
ECMDB20155,1.1820
ECMDB20156,1.2027
ECMDB20157,1.2376
ECMDB20158,0.4661
ECMDB20161,0.0738
ECMDB20170,1.1583
ECMDB20171,1.5864
ECMDB20174,1.2727
ECMDB20175,0.1052
ECMDB20177,0.3904
ECMDB20178,1.2129
ECMDB20186,2.2354
ECMDB20187,2.6547
ECMDB20188,1.8956
ECMDB20189,1.1217
ECMDB20191,0.1168
ECMDB20192,1.4015
ECMDB20196,1.0008
ECMDB20202,2.5758
ECMDB20226,1.5176
ECMDB20238,0.0361
ECMDB20246,1.1037
ECMDB20267,0.7113
ECMDB20281,1.6924
ECMDB20298,4.1700
ECMDB20324,0.6615
ECMDB20325,0.4390
ECMDB20347,0.1049
ECMDB20428,1.2056
ECMDB20429,1.2876
ECMDB20469,2.5231
ECMDB20470,4.4952
ECMDB20485,1.4947
ECMDB20518,0.8477
ECMDB20537,2.3291
ECMDB20547,1.7666
ECMDB20549,3.0304
ECMDB20557,2.6773
ECMDB20558,2.8045
ECMDB20562,2.6338
ECMDB20564,0.8878
ECMDB20573,4.5276
ECMDB20575,0.8998
ECMDB20579,3.0923
ECMDB20594,0.4103
ECMDB20601,0.0007
ECMDB20608,1.3084
ECMDB20612,2.3715
ECMDB20613,2.9581
ECMDB20620,5.4603
ECMDB20622,0.1291
ECMDB21000,0.7067
ECMDB21005,0.0016
ECMDB21014,2.5747
ECMDB21015,1.9422
ECMDB21016,2.8142
ECMDB21017,3.9782
ECMDB21018,2.9966
ECMDB21019,2.6144
ECMDB21020,5.0589
ECMDB21021,3.4230
ECMDB21024,3.1338
ECMDB21025,4.3184
ECMDB21026,5.5674
ECMDB21027,2.6807
ECMDB21028,2.2453
ECMDB21030,2.8322
ECMDB21033,2.7076
ECMDB21037,4.8720
ECMDB21041,2.5153
ECMDB21042,4.9194
ECMDB21044,4.0955
ECMDB21045,3.1754
ECMDB21049,3.0553
ECMDB21050,2.5430
ECMDB21054,4.7899
ECMDB21055,5.1756
ECMDB21060,2.4260
ECMDB21062,2.8970
