Ligand,RMSD
ECMDB20196,0.0221
ECMDB20202,3.7352
ECMDB20226,0.5554
ECMDB20238,0.0411
ECMDB20246,2.0200
ECMDB20267,1.3169
ECMDB20281,1.6911
ECMDB20298,3.8314
ECMDB20324,0.9918
ECMDB20325,1.2296
ECMDB20347,0.1091
ECMDB20428,2.2759
ECMDB20429,2.4682
ECMDB20469,2.7841
ECMDB20470,2.4251
ECMDB20485,3.4697
ECMDB20518,0.1589
ECMDB20537,0.1128
ECMDB20547,1.7240
ECMDB20549,1.1403
ECMDB20557,2.0989
ECMDB20558,2.7695
ECMDB20562,3.0637
ECMDB20564,1.1026
ECMDB20573,2.7006
ECMDB20575,1.6435
ECMDB20579,0.2863
ECMDB20594,0.5359
ECMDB20601,0.0007
ECMDB20608,1.7728
ECMDB20612,3.1208
ECMDB20613,3.0510
ECMDB20620,2.3945
ECMDB20622,1.0576
ECMDB21000,3.9236
ECMDB21005,0.1518
ECMDB21014,2.1043
ECMDB21015,2.2880
ECMDB21016,3.5856
ECMDB21017,3.5485
ECMDB21018,2.4913
ECMDB21019,1.3548
ECMDB21020,3.2510
ECMDB21021,4.4672
ECMDB21024,2.7497
ECMDB21025,2.4705
ECMDB21026,4.9000
ECMDB21027,4.8999
ECMDB21028,1.8496
ECMDB21030,1.9929
ECMDB21033,2.0239
ECMDB21037,2.9592
ECMDB21041,3.7336
ECMDB21042,3.1763
ECMDB21044,3.4637
ECMDB21045,3.5512
ECMDB21049,5.1496
ECMDB21050,2.7279
ECMDB21054,3.3705
ECMDB21055,3.6262
ECMDB21060,3.3132
ECMDB21062,2.3259
ECMDB21063,2.5745
ECMDB21064,1.7316
ECMDB21065,5.6292
ECMDB21066,1.9982
ECMDB21067,2.9038
ECMDB21068,4.1336
ECMDB21070,4.7250
ECMDB21073,2.6965
ECMDB21075,2.9828
ECMDB21082,3.2905
ECMDB21084,3.7968
ECMDB21086,2.8648
ECMDB21103,2.9809
ECMDB21104,2.6393
ECMDB21105,3.1021
ECMDB21106,2.1215
ECMDB21108,3.2487
ECMDB21109,2.2781
HMDB0000010,0.0057
HMDB0000015,0.4113
HMDB0000016,0.0112
HMDB0000021,0.6454
HMDB0000032,0.7536
HMDB0000036,1.2057
HMDB0000037,0.1166
HMDB0000045,1.1828
HMDB0000054,1.8393
HMDB0000058,1.1414
HMDB0000061,0.3506
HMDB0000063,0.0249
HMDB0000067,0.1561
HMDB0000082,0.8365
HMDB0000095,1.2614
HMDB0000125,1.6344
HMDB0000138,0.5355
HMDB0000163,0.0217
HMDB0000175,1.3076
HMDB0000186,0.0254
HMDB0000217,4.9273
HMDB0000218,0.2442
HMDB0000221,1.7192
HMDB0000222,2.0074
HMDB0000229,1.2389
HMDB0000230,0.0203
HMDB0000241,0.3637
HMDB0000248,0.1021
HMDB0000253,0.0058
HMDB0000256,1.6967
HMDB0000265,0.0650
HMDB0000268,0.0214
HMDB0000269,3.2683
HMDB0000277,1.6771
HMDB0000280,0.5241
HMDB0000285,0.0486
HMDB0000286,1.4319
HMDB0000288,0.0698
HMDB0000290,1.6940
HMDB0000295,1.1830
HMDB0000302,1.5215
HMDB0000308,0.1735
HMDB0000315,0.0030
HMDB0000319,0.0317
HMDB0000326,0.0787
HMDB0000332,0.0015
HMDB0000352,0.0009
HMDB0000359,0.4604
HMDB0000363,0.0109
HMDB0000374,0.0904
HMDB0000380,0.2463
HMDB0000405,0.3011
HMDB0000416,0.4393
HMDB0000418,0.0080
HMDB0000430,1.6160
HMDB0000449,0.0124
HMDB0000489,1.3554
HMDB0000494,0.0345
HMDB0000496,0.1836
HMDB0000501,0.3921
HMDB0000518,0.7042
HMDB0000526,0.0995
HMDB0000534,0.0428
HMDB0000538,1.5680
HMDB0000550,0.0007
HMDB0000561,1.9668
HMDB0000569,1.2928
HMDB0000570,1.1272
HMDB0000572,2.7636
HMDB0000582,0.2229
HMDB0000585,2.0600
HMDB0000600,0.0556
HMDB0000601,0.0266
HMDB0000610,3.5816
HMDB0000619,1.1104
HMDB0000626,0.0531
HMDB0000631,2.2988
HMDB0000637,0.7172
HMDB0000643,1.3167
HMDB0000651,1.6418
HMDB0000653,1.3517
HMDB0000656,2.7299
HMDB0000658,1.7498
