Ligand,RMSD
ECMDB00045,1.3158
ECMDB00048,1.0862
ECMDB00055,0.2345
ECMDB00058,1.0773
ECMDB00061,0.0886
ECMDB00082,1.9350
ECMDB00095,1.0727
ECMDB00121,1.1738
ECMDB00125,1.0657
ECMDB00163,0.1190
ECMDB00186,0.8745
ECMDB00189,2.6588
ECMDB00217,3.2690
ECMDB00218,1.4756
ECMDB00229,1.5875
ECMDB00241,0.5638
ECMDB00244,1.5543
ECMDB00258,0.8392
ECMDB00280,1.6075
ECMDB00285,0.7632
ECMDB00288,0.9682
ECMDB00290,1.5848
ECMDB00293,1.8885
ECMDB00295,1.8330
ECMDB00302,3.2900
ECMDB00538,2.2288
ECMDB00570,1.1550
ECMDB00674,4.9966
ECMDB00797,1.4539
ECMDB00830,0.2176
ECMDB00902,2.3685
ECMDB00905,1.1192
ECMDB00939,2.6097
ECMDB00960,3.0361
ECMDB00961,3.1377
ECMDB00972,0.7895
ECMDB00975,0.1182
ECMDB00988,0.3279
ECMDB00998,2.5516
ECMDB00999,0.1619
ECMDB01000,1.3544
ECMDB01003,2.1567
ECMDB01044,1.3121
ECMDB01056,0.7287
ECMDB01058,0.6263
ECMDB01060,2.5711
ECMDB01062,1.1831
ECMDB01066,1.8368
ECMDB01079,1.8745
ECMDB01094,8.5304
ECMDB01095,2.3093
ECMDB01097,0.7940
ECMDB01117,1.8139
ECMDB01121,1.4794
ECMDB01124,1.1134
ECMDB01134,0.8665
ECMDB01142,2.5779
ECMDB01144,0.9366
ECMDB01163,4.3806
ECMDB01174,1.9866
ECMDB01178,3.2453
ECMDB01179,3.7582
ECMDB01185,3.1024
ECMDB01191,1.5940
ECMDB01193,1.8173
ECMDB01197,8.4024
ECMDB01201,2.5449
ECMDB01202,0.3092
ECMDB01227,0.7176
ECMDB01245,0.7326
ECMDB01248,3.8586
ECMDB01261,1.3000
ECMDB01262,0.1750
ECMDB01271,0.1030
ECMDB01273,0.9337
ECMDB01274,0.8573
ECMDB01285,3.4416
ECMDB01296,3.0357
ECMDB01308,1.3594
ECMDB01317,0.8213
ECMDB01328,2.4501
ECMDB01332,1.2675
ECMDB01341,1.9922
ECMDB01342,0.8909
ECMDB01346,0.2401
ECMDB01354,1.6266
ECMDB01367,0.3752
ECMDB01372,1.6197
ECMDB01373,1.4575
ECMDB01384,1.6023
ECMDB01391,1.6451
ECMDB01396,2.0504
ECMDB01397,1.5981
ECMDB01399,1.7227
ECMDB01409,0.8828
ECMDB01412,2.5258
ECMDB01416,2.7924
ECMDB01423,5.8089
ECMDB01439,0.1538
ECMDB01440,3.9078
ECMDB01487,1.6633
ECMDB01517,0.3423
ECMDB01520,2.3560
ECMDB01532,1.7245
ECMDB01546,0.2673
ECMDB01550,2.2351
ECMDB01554,0.2345
ECMDB01562,2.5046
ECMDB01846,3.0768
ECMDB02158,0.9369
ECMDB02666,1.0273
ECMDB03266,2.4742
ECMDB03335,1.3758
ECMDB03419,2.1363
ECMDB03502,0.7671
ECMDB03514,0.1681
ECMDB03536,1.9826
ECMDB03540,0.3112
ECMDB03556,0.7000
ECMDB03826,1.0706
ECMDB03882,0.2695
ECMDB04007,0.3047
ECMDB04010,1.5718
ECMDB04033,3.3204
ECMDB04034,1.2082
ECMDB04052,2.2725
ECMDB04053,2.7172
ECMDB04063,2.8871
ECMDB04085,0.8456
ECMDB04108,0.9152
ECMDB04111,1.6793
ECMDB04117,2.0907
ECMDB04119,3.1245
ECMDB04120,2.9290
ECMDB04137,2.0509
ECMDB04138,1.6492
ECMDB04165,2.3921
ECMDB04166,1.4744
ECMDB04167,2.2225
ECMDB04168,3.0488
ECMDB04169,1.2059
ECMDB04171,0.2062
ECMDB04220,2.2570
ECMDB04662,1.0883
ECMDB06273,0.0638
ECMDB06354,4.0932
ECMDB06555,0.5423
ECMDB06557,0.5422
ECMDB06823,1.8513
ECMDB06834,1.3637
ECMDB06872,0.8738
ECMDB06876,4.3447
ECMDB07858,2.4063
ECMDB07859,3.2282
ECMDB07860,2.6470
ECMDB07861,2.9756
ECMDB07862,3.2832
ECMDB07863,5.1703
ECMDB07864,4.8906
ECMDB07865,5.4075
ECMDB08821,3.3212
ECMDB08824,3.8194
ECMDB08827,3.5958
ECMDB08920,2.8573
ECMDB08923,1.4575
ECMDB08924,3.6094
ECMDB08953,4.0637
ECMDB08956,1.9523
ECMDB08957,2.9359
ECMDB08959,3.0044
ECMDB09019,2.2284
ECMDB09022,3.6201
ECMDB09023,2.2743
ECMDB10573,3.2293
ECMDB10615,3.3492
ECMDB10616,3.5991
ECMDB10618,3.3422
ECMDB11145,1.9388
ECMDB11155,3.9885
ECMDB11156,2.4291
ECMDB11616,0.1668
ECMDB11629,0.1003
