Ligand,RMSD
ECMDB00045,0.9447
ECMDB00048,1.1776
ECMDB00055,0.3615
ECMDB00058,0.2386
ECMDB00061,1.3215
ECMDB00082,1.9799
ECMDB00095,0.7867
ECMDB00121,1.5698
ECMDB00125,1.4981
ECMDB00163,0.1829
ECMDB00186,0.8794
ECMDB00189,3.1333
ECMDB00217,4.3871
ECMDB00218,1.3876
ECMDB00229,0.4616
ECMDB00241,0.8671
ECMDB00244,0.9067
ECMDB00258,0.6678
ECMDB00280,1.4288
ECMDB00285,2.1166
ECMDB00288,0.7860
ECMDB00290,2.2595
ECMDB00293,2.8060
ECMDB00295,1.7818
ECMDB00302,3.3883
ECMDB00538,1.9102
ECMDB00570,1.0144
ECMDB00674,2.3509
ECMDB00797,1.3427
ECMDB00830,1.0003
ECMDB00902,4.2033
ECMDB00905,1.0365
ECMDB00939,2.2879
ECMDB00960,1.6084
ECMDB00961,1.3732
ECMDB00972,2.5026
ECMDB00975,0.4715
ECMDB00988,0.4647
ECMDB00998,2.6894
ECMDB00999,1.3604
ECMDB01000,0.7960
ECMDB01003,1.6975
ECMDB01044,0.7549
ECMDB01056,2.3196
ECMDB01058,1.1399
ECMDB01060,3.1699
ECMDB01062,0.6051
ECMDB01066,2.2241
ECMDB01079,2.2706
ECMDB01094,2.3558
ECMDB01095,2.2910
ECMDB01097,0.4705
ECMDB01117,3.1245
ECMDB01121,1.3966
ECMDB01124,1.4558
ECMDB01134,1.9061
ECMDB01142,1.3696
ECMDB01144,2.3680
ECMDB01163,2.5729
ECMDB01174,2.4286
ECMDB01178,3.6046
ECMDB01179,1.7933
ECMDB01185,3.2640
ECMDB01191,1.7777
ECMDB01193,3.0542
ECMDB01197,3.0026
ECMDB01201,2.4762
ECMDB01202,1.2761
ECMDB01227,1.2311
ECMDB01245,2.0339
ECMDB01248,4.0265
ECMDB01261,0.8317
ECMDB01262,1.4311
ECMDB01271,1.0024
ECMDB01273,3.5523
ECMDB01274,1.9519
ECMDB01285,2.6947
ECMDB01296,2.2693
ECMDB01308,0.8621
ECMDB01317,1.4499
ECMDB01328,1.6582
ECMDB01332,1.3299
ECMDB01341,2.5683
ECMDB01342,1.9284
ECMDB01346,2.6416
ECMDB01354,0.7388
ECMDB01367,0.4144
ECMDB01372,2.2737
ECMDB01373,2.6399
ECMDB01384,2.7255
ECMDB01391,2.5880
ECMDB01396,3.7624
ECMDB01397,1.3751
ECMDB01399,1.7399
ECMDB01409,1.4282
ECMDB01412,1.3022
ECMDB01416,1.2535
ECMDB01423,2.3666
ECMDB01439,1.1221
ECMDB01440,3.2287
ECMDB01487,3.8816
ECMDB01517,1.6020
ECMDB01520,2.7277
ECMDB01532,2.0108
ECMDB01546,2.1515
ECMDB01550,1.5174
ECMDB01554,0.2321
ECMDB01562,1.0923
ECMDB01846,0.7430
ECMDB02158,1.0014
ECMDB02666,1.9511
ECMDB03266,2.3671
ECMDB03335,1.4682
ECMDB03419,4.6195
ECMDB03502,0.5894
ECMDB03514,0.7860
ECMDB03536,1.0700
ECMDB03540,1.4770
ECMDB03556,2.3699
ECMDB03826,1.7061
ECMDB03882,0.4786
ECMDB04007,1.8145
ECMDB04010,1.4410
ECMDB04033,3.8723
ECMDB04034,1.2523
ECMDB04052,0.8731
ECMDB04053,2.2992
ECMDB04063,1.5384
ECMDB04085,2.1172
ECMDB04108,0.4783
ECMDB04111,2.1854
ECMDB04117,2.7823
ECMDB04119,2.5299
ECMDB04120,4.0967
ECMDB04137,2.4371
ECMDB04138,2.4001
ECMDB04165,3.3234
ECMDB04166,1.5974
ECMDB04167,4.1143
ECMDB04168,2.1967
ECMDB04169,2.3813
ECMDB04171,2.3763
ECMDB04220,4.0505
ECMDB04662,1.3915
ECMDB06273,1.0434
ECMDB06354,1.0591
ECMDB06555,1.2528
ECMDB06557,1.3296
ECMDB06823,2.7148
ECMDB06834,0.8133
ECMDB06872,0.8488
ECMDB06876,1.4382
ECMDB07858,3.4371
ECMDB07859,3.5931
ECMDB07860,4.4946
ECMDB07861,3.4617
ECMDB07862,2.8257
ECMDB07863,3.1929
ECMDB07864,2.4086
ECMDB07865,3.1000
ECMDB08821,3.6546
ECMDB08824,4.5859
ECMDB08827,3.0171
ECMDB08920,2.5191
ECMDB08923,1.7939
ECMDB08924,4.5529
ECMDB08953,3.2466
ECMDB08956,4.7305
ECMDB08957,3.4354
ECMDB08959,3.1250
ECMDB09019,3.2322
ECMDB09022,5.5353
ECMDB09023,2.6662
ECMDB10573,2.8690
ECMDB10615,3.7291
ECMDB10616,3.5196
ECMDB10618,4.2558
ECMDB11145,3.4154
ECMDB11155,2.5591
ECMDB11156,3.1867
ECMDB11616,1.3257
ECMDB11629,0.1961
ECMDB11688,1.8673
ECMDB12277,1.6466
ECMDB12278,2.8958
ECMDB12330,2.2481
ECMDB12332,3.4853
ECMDB12333,3.1418
ECMDB12352,2.5440
ECMDB12363,3.5392
ECMDB12366,3.8015
ECMDB20003,2.0984
ECMDB20004,1.9347
ECMDB20006,3.3286
ECMDB20019,1.6248
ECMDB20024,2.0051
ECMDB20025,2.2469
ECMDB20026,1.7689
ECMDB20027,0.8010
ECMDB20033,1.0268
ECMDB20034,2.3189
ECMDB20035,2.6347
ECMDB20049,1.9661
ECMDB20050,1.3199
ECMDB20054,3.1665
ECMDB20055,1.9787
ECMDB20058,1.3623
ECMDB20059,2.5667
ECMDB20062,0.1845
ECMDB20068,1.4374
ECMDB20078,3.3537
ECMDB20079,1.3586
ECMDB20081,0.4035
ECMDB20083,2.8816
ECMDB20088,3.6618
ECMDB20096,3.4422
ECMDB20099,1.0608
ECMDB20106,1.3540
ECMDB20110,2.2909
ECMDB20112,1.9333
ECMDB20113,3.2028
ECMDB20117,1.1056
ECMDB20123,1.3458
ECMDB20133,1.7097
ECMDB20139,2.0977
ECMDB20145,1.8638
ECMDB20148,3.3312
ECMDB20154,1.4555
ECMDB20155,3.3154
ECMDB20156,1.7442
ECMDB20157,0.4569
ECMDB20158,2.1329
ECMDB20161,0.2793
ECMDB20170,3.3383
ECMDB20171,1.4209
ECMDB20174,1.2847
ECMDB20175,1.5039
ECMDB20177,1.0719
ECMDB20178,1.6059
ECMDB20186,1.5372
