Ligand,RMSD
ECMDB00045,1.3700
ECMDB00048,1.0788
ECMDB00055,1.5486
ECMDB00058,1.2576
ECMDB00061,0.9275
ECMDB00082,2.8216
ECMDB00095,0.9812
ECMDB00121,1.6318
ECMDB00125,2.4240
ECMDB00163,0.9987
ECMDB00186,0.5620
ECMDB00189,2.8596
ECMDB00217,2.6800
ECMDB00218,0.7157
ECMDB00229,1.6883
ECMDB00241,0.5098
ECMDB00244,0.6218
ECMDB00258,0.6103
ECMDB00280,1.2989
ECMDB00285,1.8904
ECMDB00288,1.2802
ECMDB00290,4.2110
ECMDB00293,1.1487
ECMDB00295,0.7875
ECMDB00302,3.1099
ECMDB00538,1.5404
ECMDB00570,1.3780
ECMDB00674,1.8744
ECMDB00797,1.7399
ECMDB00830,0.4954
ECMDB00902,1.7602
ECMDB00905,1.2807
ECMDB00939,1.5076
ECMDB00960,0.9308
ECMDB00961,1.3306
ECMDB00972,1.4760
ECMDB00975,0.6841
ECMDB00988,1.5913
ECMDB00998,1.5977
ECMDB00999,1.3024
ECMDB01000,0.9477
ECMDB01003,2.2723
ECMDB01044,2.6430
ECMDB01056,1.4274
ECMDB01058,1.2132
ECMDB01060,1.9451
ECMDB01062,0.6589
ECMDB01066,2.4193
ECMDB01079,2.0008
ECMDB01094,3.8363
ECMDB01095,1.5794
ECMDB01097,1.0527
ECMDB01117,2.0489
ECMDB01121,1.4584
ECMDB01124,1.1300
ECMDB01134,2.2574
ECMDB01142,0.9183
ECMDB01144,3.0718
ECMDB01163,3.8475
ECMDB01174,2.2551
ECMDB01178,2.1618
ECMDB01179,1.3812
ECMDB01185,2.2253
ECMDB01191,1.7247
ECMDB01193,4.5513
ECMDB01197,5.2428
ECMDB01201,2.6582
ECMDB01202,0.6996
ECMDB01227,0.6902
ECMDB01245,2.0725
ECMDB01248,2.8894
ECMDB01261,1.3958
ECMDB01262,1.5492
ECMDB01271,1.1934
ECMDB01273,1.5348
ECMDB01274,1.1136
ECMDB01285,1.3337
ECMDB01296,1.0736
ECMDB01308,1.0004
ECMDB01317,1.4999
ECMDB01328,2.5847
ECMDB01332,1.6536
ECMDB01341,1.1182
ECMDB01342,1.6012
ECMDB01346,2.1503
ECMDB01354,1.7484
ECMDB01367,0.7363
ECMDB01372,1.8988
ECMDB01373,3.7436
ECMDB01384,2.3963
ECMDB01391,1.2959
ECMDB01396,2.7178
ECMDB01397,1.0983
ECMDB01399,2.0163
ECMDB01409,1.0574
ECMDB01412,3.0925
ECMDB01416,2.9873
ECMDB01423,3.6968
ECMDB01439,1.3005
ECMDB01440,3.3934
ECMDB01487,5.7416
ECMDB01517,1.4500
ECMDB01520,2.5047
ECMDB01532,0.9791
ECMDB01546,1.0024
ECMDB01550,2.5020
ECMDB01554,1.3822
ECMDB01562,2.1927
ECMDB01846,1.0876
ECMDB02158,1.2345
ECMDB02666,1.4963
ECMDB03266,1.7113
ECMDB03335,2.0053
ECMDB03419,2.2968
ECMDB03502,0.8114
ECMDB03514,0.3236
ECMDB03536,1.2336
ECMDB03540,0.5103
ECMDB03556,1.3295
ECMDB03826,1.0114
ECMDB03882,1.4721
ECMDB04007,2.4484
ECMDB04010,2.3460
ECMDB04033,2.7851
ECMDB04034,1.5833
ECMDB04052,0.5731
ECMDB04053,1.5645
ECMDB04063,1.5007
ECMDB04085,1.0399
ECMDB04108,0.5399
ECMDB04111,2.9691
ECMDB04117,1.6514
ECMDB04119,2.3777
ECMDB04120,2.6398
ECMDB04137,1.4335
ECMDB04138,2.0086
ECMDB04165,4.5498
ECMDB04166,1.7780
ECMDB04167,1.4239
ECMDB04168,3.4099
ECMDB04169,3.5915
ECMDB04171,3.1457
ECMDB04220,3.4113
ECMDB04662,1.6687
ECMDB06273,1.2806
ECMDB06354,2.5458
ECMDB06555,0.9780
ECMDB06557,1.7112
ECMDB06823,1.8054
ECMDB06834,1.3134
ECMDB06872,1.0787
ECMDB06876,2.9736
ECMDB07858,3.7719
ECMDB07859,2.7381
ECMDB07860,2.9068
ECMDB07861,3.1016
ECMDB07862,3.2774
ECMDB07863,2.9646
ECMDB07864,5.3545
ECMDB07865,3.0463
ECMDB08821,4.6526
ECMDB08824,3.2533
ECMDB08827,2.9215
ECMDB08920,2.1183
ECMDB08923,2.9192
ECMDB08924,2.3864
ECMDB08953,2.8222
ECMDB08956,2.1507
ECMDB08957,2.7859
ECMDB08959,3.2374
ECMDB09019,2.9674
ECMDB09022,2.1006
ECMDB09023,3.1256
ECMDB10573,4.4214
ECMDB10615,3.1308
ECMDB10616,5.2579
ECMDB10618,3.0613
ECMDB11145,4.4463
ECMDB11155,5.2815
ECMDB11156,4.4218
ECMDB11616,1.0436
ECMDB11629,1.1436
ECMDB11688,1.1660
ECMDB12277,1.4381
ECMDB12278,3.0592
ECMDB12330,3.9653
ECMDB12332,2.7402
ECMDB12333,3.6252
ECMDB12352,2.3462
ECMDB12363,2.8292
ECMDB12366,2.7307
ECMDB20003,2.8946
ECMDB20004,2.5330
ECMDB20006,2.9735
ECMDB20019,2.0182
ECMDB20024,2.5662
ECMDB20025,3.3533
ECMDB20026,3.0163
ECMDB20027,2.5342
ECMDB20033,2.0458
ECMDB20034,2.2725
ECMDB20035,1.9594
ECMDB20049,4.5804
ECMDB20050,1.4475
ECMDB20054,2.7429
ECMDB20055,1.3922
ECMDB20058,0.8878
ECMDB20059,1.9842
ECMDB20062,0.2388
ECMDB20068,1.9898
ECMDB20078,2.2854
ECMDB20079,1.3950
ECMDB20081,0.5480
ECMDB20083,2.6078
ECMDB20088,2.5290
ECMDB20096,2.7519
ECMDB20099,1.2571
ECMDB20106,0.4205
ECMDB20110,2.3281
ECMDB20112,3.5827
ECMDB20113,2.3712
ECMDB20117,0.7838
ECMDB20123,1.2708
ECMDB20133,3.3578
ECMDB20139,1.0418
ECMDB20145,2.3335
ECMDB20148,1.4530
ECMDB20154,1.9634
ECMDB20155,2.0006
ECMDB20156,1.4662
ECMDB20157,1.0488
ECMDB20158,1.0551
ECMDB20161,0.5434
ECMDB20170,2.8115
ECMDB20171,0.9217
ECMDB20174,1.3122
ECMDB20175,1.3945
ECMDB20177,1.2867
ECMDB20178,1.8391
ECMDB20186,2.0601
ECMDB20187,1.9124
ECMDB20188,1.0569
ECMDB20189,1.2657
ECMDB20191,0.9228
ECMDB20192,1.9801
ECMDB20196,1.2758
ECMDB20202,4.6049
ECMDB20226,1.9787
ECMDB20238,0.4335
ECMDB20246,2.7055
ECMDB20267,0.8514
ECMDB20281,1.5060
ECMDB20298,3.4150
ECMDB20324,1.3787
ECMDB20325,1.1914
ECMDB20347,0.6855
ECMDB20428,2.0707
ECMDB20429,1.4040
ECMDB20469,3.6405
ECMDB20470,3.0483
ECMDB20485,3.0630
ECMDB20518,1.1695
ECMDB20537,2.2597
ECMDB20547,0.6980
ECMDB20549,1.4855
ECMDB20557,1.8605
ECMDB20558,1.4629
ECMDB20562,2.7670
ECMDB20564,1.0778
ECMDB20573,1.9338
ECMDB20575,1.4537
ECMDB20579,2.6045
ECMDB20594,1.5360
ECMDB20601,0.0007
ECMDB20608,2.5609
ECMDB20612,3.1721
ECMDB20613,2.4995
ECMDB20620,3.4941
ECMDB20622,3.0388
ECMDB21000,1.7144
ECMDB21005,0.4213
ECMDB21014,2.5158
ECMDB21015,2.7756
ECMDB21016,2.3438
ECMDB21017,3.1337
ECMDB21018,5.0455
ECMDB21019,2.4562
ECMDB21020,2.7983
ECMDB21021,2.4348
ECMDB21024,3.5145
ECMDB21025,3.7956
ECMDB21026,2.5815
ECMDB21027,3.8330
ECMDB21028,3.0140
ECMDB21030,2.8044
ECMDB21033,1.5799
ECMDB21037,2.7060
ECMDB21041,4.3938
ECMDB21042,2.7496
ECMDB21044,4.0471
ECMDB21045,2.8006
ECMDB21049,2.7129
ECMDB21050,8.1441
ECMDB21054,3.2724
